Municipality,Longitude,Latitude
Albert Park South,-104.63,50.4
Alberta Avenue,-113.48,53.56
Alberta Park Industrial,-113.59,53.56
Albion,-122.55,49.18
Albion Falls,-79.81,43.19
Albro Lake,-63.58,44.68
Albuna,-82.63,42.13
Albury,-77.52,44.07
Alcida,-65.82,47.77
Alcomdale,-113.83,53.89
Alcove,-75.93,45.68
Alder,-79.38,44.18
Alder Creek 70,-129.42,54.23
Alder River,-61.71,45.48
Alderburn,-55.25,49.11
Alderdale,-79.26,46.1
Alderney Point,-60.95,45.49
Aldershot,-79.84,43.3
Aldershot Range and Training Area,-64.53,45.09
Alderslea,-79.53,44.32
Aldersville,-64.5,44.81
Aldersyde,-113.87,50.67
Alderville,-78.06,44.18
Alderville First Nation,-78.08,44.17
Alderwood,-64.99,47.51
Aldred's Beach,-78.86,44.16
Alert Bay 1,-126.92,50.59
Alert Bay 1A,-126.94,50.59
Alexander 134,-113.96,53.81
Alexander 134a,-116.45,54.28
Alexander 134b,-114.81,54.34
Alexandra,-63.03,46.19
Alexandra Point Range,-63.05,46.19
Alexandria 1,-122.47,52.56
Alexandria 10,-122.6,52.66
Alexandria 11,-122.6,52.63
Alexandria 12,-122.32,52.51
Alexandria 1A,-122.45,52.56
Alexandria 3,-122.5,52.58
Alexandria 3A,-122.5,52.56
Alexandrina,-64.78,46.31
Alexis 133,-114.48,53.73
Alexis 9,-119.91,49.21
Alexis Cardinal River 234,-116.97,52.85
Alexis Creek 12,-124.23,52.24
Alexis Creek 13,-124.28,52.2
Alexis Creek 14,-124.31,52.2
Alexis Creek 15,-124.32,52.18
Alexis Creek 16,-124.31,52.17
Alexis Creek 17,-124.36,52.2
Alexis Creek 18,-124.35,52.2
Alexis Creek 20,-124.24,52.32
Alexis Creek 21,-124.26,52.31
Alexis Creek 22,-124.32,52.32
Alexis Creek 23,-124.34,52.3
Alexis Creek 24,-124.36,52.3
Alexis Creek 25,-124.4,52.29
Alexis Creek 26,-124.43,52.3
Alexis Creek 27,-124.41,52.32
Alexis Creek 28,-124.37,52.35
Alexis Creek 29,-124.4,52.37
Alexis Creek 30,-124.41,52.38
Alexis Creek 31,-124.4,52.42
Alexis Creek 32,-124.43,52.44
Alexis Creek 33,-124.46,52.45
Alexis Creek 34,-124.28,52.48
Alexis Creek 35,-124.23,52.43
Alexis Creek 6,-124.09,52.34
Alexis Elk River 233,-116.54,52.92
Alexis Thomas 1A,-125.24,53.74
Alexis Whitecourt 232,-115.81,54.22
Aleza Lake,-122.03,54.11
Alfred and Plantagenet,-74.91,45.58
Algoma Mills,-82.81,46.18
Algonquin,-75.66,44.7
Algonquin Highlands,-78.68,45.39
Algonquin Park,-78.59,45.55
Algrove,-103.88,52.48
Alhambra,-114.67,52.34
Alice,-77.29,45.75
Alice Beach,-105.16,50.92
Alixton 5,-122.13,51.8
Alkali Lake 1,-122.22,51.78
Alkali Lake 4A,-122.11,51.82
Alkhili 2,-133.67,59.61
Allains Creek,-65.52,44.73
Allainville,-65.25,47.3
Allan Mills,-77.72,44.4
Allan Park,-80.93,44.16
Allanburg,-79.2,43.07
Allandale,-67.29,45.9
Allans Corners,-77.09,45.67
Allan's Corners,-73.92,45.16
Allan's Island,-55.8,46.85
Allanwater Bridge,-90.16,50.23
Allard,-66.38,48.16
Allardville East,-65.38,47.5
Allen Hill,-64.71,45.4
Allen Rapids,-93.87,55.03
Allendale,-113.5,53.5
Allen's Mill,-71.96,46.9
Allensville,-79.3,45.26
Allenville,-64.7,45.37
Allenwood,-79.95,44.57
Allenwood Beach,-79.99,44.57
Alleyn-et-Cawood,-76.16,45.91
Allison,-64.91,46.06
Allison Bay 219,-111.03,58.77
Allisonville,-77.36,44.02
Alloa,-79.85,43.7
Allsaw,-78.61,44.98
Almira,-79.33,43.93
Almond Gardens,-118.5,49.01
Alnwick/Haldimand,-78.05,44.11
Alphonse Tommy 7,-126.63,55.31
Alpine Meadows,-122.96,50.15
Alpine Village,-79.475,43.995
Alport,-79.35,45.02
Alsace,-79.54,46.03
Alsfeldt,-80.94,44.01
Alsops Beach,-79.15,44.44
Alstonvale,-74.18,45.47
Alta Vista,-75.65,45.38
Altadore,-114.1,51.01
Altamont,-123.2,49.33
Altbergthal,-97.6,49.09
Althorpe,-76.47,44.75
Alticane,-107.48,52.9
Alton,-63.3,45.18
Alvanley,-81.11,44.53
Alvena,-106.01,52.51
Amazon,-105.45,51.55
Amber River 211,-118.94,58.89
Amberley,-81.71,44.04
Ambleside,-123.15,49.31
Amery,-94.06,56.56
Amesdale,-92.93,50.01
Amethyst Harbour,-88.87,48.54
Amherst Cove,-53.2,48.57
Amherst Head,-63.99,45.88
Amherst Point,-64.27,45.78
Amherst Pointe,-83.11,42.05
Amherst Range,-64.17,45.82
Amherst Shore,-63.89,45.96
Amherstview,-76.64,44.22
Amigari Downs,-78.94,42.92
Amigo Beach,-79.39,44.68
Amik Wachink Sakahikan,-94.96,54.25
Amiraults Hill,-65.97,43.81
Amisk Lake 184,-102.41,54.58
Amiskosakahikan 210,-102.14,54.44
Ammon,-64.84,46.16
Amostown,-66.2,46.53
Amsterdam,-102.45,51.74
Amulet,-79.02,48.29
Amulree,-80.83,43.42
Amyot,-84.95,48.48
Anagance,-65.25,45.86
Anagance Ridge,-65.31,45.88
Anahim 10,-122.93,52.26
Anahim 11,-122.93,52.29
Anahim 12,-122.97,52.3
Anahim 13,-122.99,52.26
Anahim 14,-123.0,52.28
Anahim 15,-123.02,52.29
Anahim 16,-123.08,52.33
Anahim 17,-123.06,52.36
Anahim 18,-123.2,52.43
Anahim 3,-123.07,52.18
Anahim 4,-123.07,52.2
Anahim 5,-123.01,52.2
Anahim 6,-123.0,52.21
Anahim 7,-122.96,52.18
Anahim 8,-122.95,52.21
Anahim 9,-122.94,52.22
Anahim's Flat 1,-123.16,52.03
Anahim's Meadow 2,-123.23,52.11
Anahim's Meadow 2A,-123.21,52.1
Anaqtl'a,-125.11,48.8
Ancaster,-80.01,43.2
Ancaster Heights,-79.96,43.23
Anchor Point,-56.78,51.23
Ancona Point,-78.61,44.5
Andak 9,-127.6,55.44
Anderson,-96.65,54.38
Anderson Lake,-81.73,46.23
Anderson Lake 5,-122.51,50.54
Anderson Mountain,-62.56,45.62
Anderson Settlement,-64.24,46.11
Andersonville,-67.25,45.42
Andimaul 1,-127.93,55.1
Andrew Bay,-94.63,54.44
Andrewsville,-75.82,44.95
Andy Cahoose Meadow 16,-125.73,52.88
Anerley,-107.31,51.36
Aneroid,-107.3,49.71
Anfield,-67.51,46.92
Angers,-75.49,45.52
Angevine Lake,-63.55,45.73
Anglia,-108.16,51.56
Anjou,-73.55,45.6
Anlaw 4,-127.67,55.29
Anmore,-122.85,49.31
Ann Island 7,-127.81,51.27
Annable Settlement,-75.35,45.1
Annan,-80.85,44.61
Annandale-Little Pond-Howe Bay,-62.41,46.28
Annapolis Valley First Nation,-64.65,45.06
Annidale,-65.78,45.79
Anniedale,-122.71,49.16
Annis,-119.08,50.79
Anoma Lea,-75.92,44.63
Ansnorveldt,-79.54,44.08
Anson,-77.59,44.29
Ansonia,-83.6,46.31
Ansonville,-80.68,48.75
Anthony,-80.59,48.53
Anthonys Cove,-66.0,45.22
Antigonish Harbour,-61.9,45.71
Antigonish Landing,-61.96,45.63
Antko 21,-120.76,50.08
Antrim,-63.35,44.96
Apex Mountain,-119.91,49.39
Appelo,-81.4,47.19
Apple River,-64.78,45.46
Appleby,-79.77,43.37
Appledale,-117.53,49.65
Appledore,-82.14,42.52
Applegrove,-72.18,45.08
Appleton,-54.85,48.98
Applewood Acres,-77.615,44.485
Applewood Heights,-79.59,43.6
Applewood Hills,-79.6,43.61
Applewood Park,-113.92,51.04
Apsagayu 1A,-126.48,50.73
Apto,-79.8,44.5
Aquadeo,-108.42,53.13
Aquaforte,-52.95,47.0
Arbakka,-96.47,49.05
Arbeatha Park,-75.82,45.31
Arbeau Settlement,-65.85,46.64
Arbor Vitae,-94.29,48.89
Arbour Lake,-114.2,51.13
Arbuthnot,-106.9,49.81
Arbutus Ridge,-123.16,49.25
Arcadia,-66.06,43.82
Ar-ce-wy-ee 4,-127.0,50.54
Archer,-75.1,44.98
Archibald Settlement,-66.06,47.87
Arctic Lake 10,-121.7,54.43
Ardath,-107.23,51.61
Ardbeg,-80.08,45.64
Ardendale,-76.94,44.72
Ardenode,-113.42,51.14
Ardness,-62.23,45.69
Ardoch,-76.9,44.93
Ardoise,-63.93,44.95
Ardrossan,-113.14,53.55
Ardtrea,-79.4,44.68
Arelee,-107.5,52.25
Argentia Beach,-114.01,53.05
Argosy,-67.7,46.98
Argyle,-97.45,50.18
Argyle Head,-65.85,43.82
Argyle Park,-104.62,50.49
Argyle Sound,-65.81,43.69
Argyll,-113.45,53.5
Arisaig,-62.16,45.76
Ariss,-80.36,43.57
Arkell,-80.16,43.53
Arklan,-76.34,45.08
Arkwright,-81.21,44.45
Arlington,-64.42,45.19
Arlington Beach,-105.23,51.24
Arlington East,-65.21,44.93
Arlington West,-65.27,44.91
Arlington Woods,-75.78,45.32
Armadale,-79.25,43.83
Armagh Station,-70.58,46.72
Armbro Heights,-79.74,43.67
Armdale,-63.62,44.63
Armena,-112.94,53.12
Armit,-101.78,52.83
Armitage,-79.47,44.03
Armley,-104.03,53.11
Armond,-67.38,46.41
Armour,-79.34,45.62
Armour Heights,-79.43,43.74
Armow,-81.51,44.19
Armstrong Brook,-65.96,47.91
Armstrong Industrial,-113.61,53.56
Armstrong Lake,-64.73,44.77
Armstrong Mills,-80.26,43.62
Armstrongs Corners,-76.3,44.93
Arnaud,-97.1,49.25
Arner,-82.82,42.03
Arnes,-96.99,50.8
Arnheim Place,-104.58,50.43
Arnold,-122.15,49.0
Arnott,-80.85,44.43
Arnstein,-79.93,45.92
Arntfield,-79.25,48.19
Aroland,-86.96,50.23
Aroland 83,-86.96,50.21
Arpin,-80.72,48.92
Arran,-101.71,51.88
Arran-Elderslie,-81.2,44.39
Arranvale,-81.14,44.45
Arras,-120.53,55.75
Arrow Creek,-116.45,49.13
Arrow River,-100.89,50.14
Arrowview Heights,-124.76,49.23
Arseneault,-61.77,47.41
Arthabaska,-71.92,46.04
Arthurville,-70.75,46.82
Artland,-109.88,52.7
Arundel,-74.61,45.96
Arva,-81.29,43.05
Arvida,-71.18,48.42
Asahal Lake 2,-122.01,52.14
Ascot,-71.9,45.37
Ascot Corner,-71.76,45.45
Ash,-79.81,43.43
Ashburn,-78.99,44.0
Ashburnham,-78.3,44.3
Ashby,-60.16,46.13
Ashby Mill,-77.82,44.46
Ashcroft 4,-121.31,50.72
Ashdad,-76.75,45.35
Ashdale,-62.04,45.52
Ashfield,-61.16,45.91
Ashfield-Colborne-Wawanosh,-81.59,43.88
Ashgrove,-79.89,43.6
Ashland,-67.46,46.31
Ashmore,-65.97,44.46
Ashnola 10,-120.0,49.21
Ashton,-76.03,45.15
Ashton Creek,-119.01,50.55
Ashton Station,-76.05,45.17
Ashville,-100.29,51.17
Ashworth,-79.4,45.34
Asimakaniseekan Askiy 102A,-106.58,52.12
Asimakaniseekan Askiy 102B,-106.7,52.12
Askilton,-61.3,45.69
Aspdin,-79.37,45.29
Aspen Gardens,-113.54,53.47
Aspen Park,-97.02,50.63
Asphodel-Norwood,-78.01,44.35
Aspotogan,-64.05,44.52
Aspy Bay,-60.48,46.92
Assabaska,-94.43,48.98
Asselstine,-76.73,44.24
Assiginack,-81.88,45.7
Assineau River 150F,-115.18,55.38
Assiniboia East,-104.57,50.43
Assiniboine 76,-103.53,50.34
Astle,-66.47,46.41
Aston Station,-72.27,46.18
Aston-Jonction,-72.23,46.16
Atchelitz,-122.01,49.11
Atha Road,-79.17,43.94
Athalmer,-116.01,50.51
Athapap,-101.68,54.57
Athelstan,-74.17,45.03
Atherley,-79.36,44.6
Atherton,-80.44,42.82
Athlone,-113.54,53.58
Athol,-64.21,45.67
Athol Road,-64.1,45.63
Atihkosanik Cree Nation,-95.75,55.3
Atikameg,-115.65,55.91
Atkinson,-63.72,45.63
Atlanta,-64.49,45.15
Atlantic,-65.33,43.58
Atlin-Teslin Indian Cemetery 4,-133.69,59.55
Atluck,-126.98,50.2
Atmore,-112.54,54.81
Attawapiskat 91,-84.31,53.58
Attawapiskat 91A,-82.42,52.92
Attercliffe,-79.58,42.99
Attercliffe Station,-79.59,42.96
Atwater,-102.22,50.77
Atwoods Brook,-65.65,43.5
Aubert-Gallion,-70.7,46.12
Aubigny,-97.24,49.45
Aubrey,-73.79,45.14
Auburn,-64.87,45.01
Auburn Mills,-78.3,44.31
Auburndale,-64.59,44.4
Auburnville,-65.12,47.0
Auclair,-68.65,47.73
Auden,-87.89,50.22
Audet,-70.73,45.65
Audley,-79.01,43.9
Augier Lake 22,-125.61,54.44
Augsburg,-77.18,45.52
Augusta,-75.6,44.75
Aulac,-64.28,45.87
Aulds Cove,-61.43,45.64
Aumond,-75.9,46.46
Aupe 6,-125.07,50.33
Aupe 6A,-125.06,50.33
Austin Heights,-122.86,49.25
Austin's Flat 3,-121.44,49.77
Auteuil,-73.76,45.63
Authier,-78.85,48.73
Authier-Nord,-78.86,48.83
Avalon,-106.65,52.09
Avening,-80.07,44.31
Avery Island 92,-130.75,54.21
Avery Point,-79.11,44.67
Avon,-66.04,46.06
Avonbank,-81.12,43.32
Avondale,-67.64,46.31
Avonhurst,-104.13,50.63
Avonry,-82.35,42.75
Avonton,-81.08,43.35
Axe Lake,-79.53,45.39
Aylechootlook 5,-122.1,49.12
Aylesbury,-105.69,50.93
Aylesford East,-64.81,45.02
Aylesford Lake,-64.67,44.96
Aylesford Mountain,-64.85,45.06
Aylesworth,-76.54,44.28
Aylsworth,-93.8,48.54
Aylwin,-76.02,45.98
Aylwin Station,-76.05,45.97
Aywawwis 15,-121.41,49.39
Azilda,-81.11,46.55
Azu Ski Village,-122.63,55.38
Babine 16,-126.64,55.32
Babine 17,-127.33,55.02
Babine 18,-127.38,55.03
Babine 25,-126.14,54.81
Babine 26,-126.12,54.95
Babine 6,-126.61,55.32
Babine Lake 20,-126.46,55.06
Babine Lake 21B,-125.64,54.49
Babine River 21,-126.68,55.41
Babine River 21A,-126.67,55.41
Baby Point,-79.49,43.65
Babys Point,-82.5,42.64
Baccaro,-65.47,43.47
Back Bay,-66.86,45.05
Back Centre,-64.35,44.36
Back Clarendon,-66.56,45.43
Back Cove,-56.56,49.84
Back Harbour,-54.78,49.65
Back Lots,-65.5,47.04
Bacon Cove,-53.17,47.48
Bacon Ridge,-99.0,51.0
Bacon's Bay,-72.02,45.18
Baddeck Bay,-60.71,46.12
Baddow,-78.75,44.61
Baden,-101.21,52.78
Badenoch,-80.08,43.47
Badger's Corners,-80.02,45.39
Badjeros,-80.28,44.25
Baezaeko River 25,-123.8,52.98
Baezaeko River 26,-123.81,52.98
Baezaeko River 27,-123.81,52.98
Bagdad,-65.86,45.92
Bagnall,-82.36,42.34
Bagot,-98.63,49.96
Bagotville,-70.89,48.34
Baie du Doré,-81.55,44.33
Baie Verte Road,-64.15,45.98
Baie-Carrière,-78.01,47.84
Baie-de-l'Ours,-75.12,45.87
Baie-des-Bacon,-69.27,48.52
Baie-des-Brises,-74.16,45.19
Baie-des-Capucins,-66.85,49.04
Baie-des-Cèdres,-79.45,47.3
Baie-des-Ha! Ha!,-58.97,50.92
Baie-de-Shawinigan,-72.76,46.53
Baie-des-Homards,-67.11,49.83
Baie-des-Rochers,-69.85,47.95
Baie-Dorval,-79.23,46.98
Baie-D'Urfé,-73.91,45.41
Baie-du-Tonnerre,-80.07,44.8
Baie-Jolie,-72.63,46.28
Baie-Laperrière,-79.44,47.29
Baie-Laval,-69.05,48.77
Baie-Noire,-75.19,45.6
Baie-Rouge,-58.95,50.82
Baie-Sainte-Anne,-64.95,47.05
Baie-Sainte-Catherine,-69.73,48.1
Baie-Saint-Ludger,-68.32,49.09
Baie-Trinité-Est,-67.28,49.42
Baie-Trinité-Ouest,-67.3,49.42
Baildon,-105.46,50.26
Bailey Corners,-80.81,46.61
Baileys Brook,-62.27,45.66
Bailieboro,-78.35,44.13
Baillie,-67.26,45.38
Baine Harbour,-54.89,47.36
Bains Corner,-65.64,45.33
Bainsville,-74.41,45.18
Baird,-89.42,48.42
Bairdsville,-67.71,46.63
Baker-Brook,-68.51,47.3
Bakers Brook,-57.95,49.65
Bakers Settlement,-64.67,44.39
Bala Park,-79.58,45.01
Balaclava,-78.855,45.035
Bald Rock,-63.58,44.46
Balderson,-76.32,44.95
Baldonnel,-120.68,56.2
Baldoon,-82.34,42.49
Baldwin,-80.545,45.29
Baldwin Mills,-71.9,45.03
Baldwins Bridge,-75.41,45.0
Baldwinton,-109.26,52.78
Baldy Hughes,-122.93,53.61
Balfour Beach,-79.49,44.26
Balfron,-63.23,45.67
Baljennie,-107.9,52.55
Balla Philip,-64.91,46.48
Ballantrae,-79.29,44.03
Ballantynes Cove,-61.92,45.85
Ballinafad,-80.01,43.69
Balls Creek,-60.31,46.14
Ballycanoe,-75.9,44.53
Ballycroy,-79.87,43.97
Ballydown Beach,-79.53,44.24
Ballyduff,-78.65,44.13
Ballyhack,-53.19,47.43
Ballymote,-81.23,43.06
Balm Beach,-80.0,44.69
Balmertown,-93.74,51.05
Balmoral Beach,-124.9,49.66
Balmoral Mills,-63.19,45.64
Balmy Beach,-80.94,44.61
Balone Beach,-105.6,52.66
Balsam,-79.06,43.98
Balsam Creek,-79.2,46.41
Balsam Grove,-76.53,44.24
Balsam Harbour,-96.57,50.48
Balsam Hill,-76.82,45.48
Baltics Corners,-74.79,45.32
Baltimore,-64.8,45.88
Balvenie,-77.06,45.26
Balwin,-113.45,53.58
Bamberg,-80.68,43.48
Banbury,-79.52,45.45
Banda,-80.06,44.28
Banff Trail,-114.11,51.06
Banff Training Area,-115.53,51.21
Bangor,-66.09,44.21
Bangor Lodge,-79.39,45.04
Bangs Falls,-64.83,44.24
Bankeir,-120.23,49.71
Bankend,-103.84,51.5
Bankfield,-87.08,49.69
Banks,-80.35,44.48
Bankview,-114.1,51.03
Banner,-80.98,43.0
Bannerman,-113.37,53.59
Bannon,-67.46,46.37
Bapaume,-107.66,53.38
Baptiste,-77.97,45.09
Baptiste Louis 8,-125.38,53.75
Baptiste Meadow 2,-122.55,51.99
Bar Point,-83.11,42.05
Bar River,-84.02,46.44
Bar Road,-67.05,45.09
Barachois-Nord,-64.29,48.63
Barachois-Ouest,-64.31,48.61
Baranow,-113.53,53.6
Barb,-74.53,45.51
Barbers Bay,-80.9,48.61
Barber's Beach,-80.27,43.42
Barclay,-79.61,44.29
Barcovan Beach,-77.62,44.02
Bar-de-Cocagne,-64.62,46.41
Bardsville,-79.43,45.09
Bare Island 9,-123.28,48.63
Bareneed,-53.24,47.57
Barford,-71.79,45.11
Baring,-103.05,50.25
Barkers Point,-66.62,45.95
Barkerville,-121.51,53.06
Barkfield,-96.8,49.33
Barkhouse Settlement,-62.37,44.94
Barkmere,-74.58,46.0
Barkway,-79.17,44.9
Barlochan,-79.48,45.03
Barlow Creek,-122.43,53.03
Barnaby River,-65.51,46.88
Barnesdale,-79.27,43.18
Barnet,-122.91,49.3
Barnettville,-65.8,46.76
Barneys River Station,-62.26,45.59
Barnhart,-93.78,48.72
Barnhartvale,-120.16,50.65
Barnston Island,-122.71,49.2
Barnston Island 3,-122.69,49.18
Barnston-Ouest,-71.96,45.1
Barons,-113.08,49.99
Barony,-67.18,45.97
Barr Settlement,-63.62,45.13
Barra Glen,-60.84,45.97
Barra Head,-60.78,45.67
Barrachois,-61.845,45.93
Barrage-McLaren,-75.65,45.84
Barrage-Mistigougèche,-68.02,48.17
Barrage-Sainte-Marguerite,-66.65,50.21
Barr'd Harbour,-57.05,50.81
Barren Hill,-60.59,45.68
Barrett Chute,-76.75,45.25
Barrett Lake,-126.75,54.45
Barretville,-82.85,42.09
Barrhaven,-75.76,45.27
Barrieau,-65.27,46.77
Barriefield,-76.46,44.24
Barriefield Range and Training Area,-76.46,44.24
Barrier Ford,-103.71,52.54
Barriere,-120.12,51.17
Barriere River 3A,-120.11,51.19
Barrière-de-Laterrière,-71.25,48.24
Barrière-Mésy,-71.67,48.26
Barrillia Park,-79.49,44.45
Barrington Passage,-65.6,43.52
Barrington West,-65.59,43.56
Barronsfield,-64.35,45.73
Barrow Bay,-81.22,44.95
Barrowtown,-122.1,49.1
Barrydowne,-80.94,46.51
Barrymere,-77.66,45.39
Barryvale,-76.72,45.28
Barsa Subdivision,-65.96,45.36
Barss Corner,-64.68,44.56
Barter Settlement,-67.33,45.2
Bartholomew,-65.9,46.7
Bartibog,-65.4,47.18
Bartibog Bridge,-65.34,47.09
Bartlett Island 32,-126.08,49.22
Bartlett Island 7,-125.08,50.32
Bartletts Mills,-67.12,45.2
Barton,-67.03,46.13
Bartonville,-79.8,43.23
Barville,-77.68,48.51
Barwick,-93.98,48.64
Bas-Cap-Pelé,-64.26,46.23
Bas-de-la-Baie,-70.51,47.41
Bas-de-l'Anse,-70.03,47.7
Bas-de-Sainte-Rose,-73.74,45.65
Base des Forces canadiennes Bagotville,-70.98,48.32
Base des Forces canadiennes Borden,-79.91,44.26
Base des Forces canadiennes Chilliwack,-121.96,49.1
Base des Forces canadiennes Cold Lake,-110.27,54.4
Base des Forces canadiennes Comox,-124.9,49.71
Base des Forces canadiennes Esquimalt,-123.42,48.43
Base des Forces canadiennes Gagetown,-66.45,45.83
Base des Forces canadiennes Goose Bay,-60.41,53.3
Base des Forces canadiennes Greenwood,-64.92,44.98
Base des Forces canadiennes Halifax,-63.58,44.65
Base des Forces canadiennes Kingston,-76.44,44.24
Base des Forces canadiennes Montréal,-73.42,45.5
Base des Forces canadiennes Moose Jaw,-105.55,50.34
Base des Forces canadiennes North Bay,-79.41,46.35
Base des Forces canadiennes Petawawa,-77.29,45.91
Base des Forces canadiennes Shilo,-99.63,49.8
Base des Forces canadiennes Suffield,-111.17,50.27
Base des Forces canadiennes Trenton,-77.54,44.11
Base des Forces canadiennes/unité de soutien de secteur Valcartier,-71.55,46.96
Basin Depot,-77.78,45.72
Basin Mines,-80.65,46.61
Basingstoke,-79.62,43.1
Baskin's Beach,-76.01,45.47
Basque 18,-121.32,50.63
Bass Creek,-82.01,45.8
Bass Lake Park,-79.48,44.61
Bass River Point,-65.04,46.55
Basse-Aboujagane,-64.41,46.13
Basse-Ville,-75.69,45.43
Bassin,-61.93,47.22
Bassin-du-Lièvre,-75.43,45.54
Basswood,-100.03,50.3
Basswood Ridge,-67.35,45.31
Bastarache,-64.89,46.45
Batchelor Hills,-120.36,50.71
Bateman,-106.74,50.0
Batemans Mills,-64.62,46.23
Bates Settlement,-67.32,46.0
Bateston,-59.9,46.0
Bathurst Mines,-65.79,47.4
Batiscan,-72.25,46.5
Bat-l-ki 3,-126.4,50.89
Batteaux,-80.17,44.46
Battrum,-108.33,50.55
Baturyn,-113.5,53.63
Bauline,-52.81,47.7
Baxters Corners,-75.79,45.16
Baxters Harbour,-64.51,45.22
Bay Beach,-79.07,42.86
Bay du Vin,-65.13,47.04
Bay du Vin Beach,-65.13,47.05
Bay Road,-67.22,45.21
Bay Road Valley,-60.47,46.96
Bay St. Lawrence,-60.46,47.0
Bay View,-65.49,45.37
Bayard,-74.82,46.36
Bayers Settlement,-63.14,44.74
Bayfield Inlet,-80.49,45.62
Bayham,-80.79,42.75
Bayhead,-63.36,45.73
Bayport,-64.31,44.32
Bayshore,-64.94,47.37
Bayshore Estates,-79.62,44.36
Bayswater,-66.13,45.35
Baytona,-54.78,49.33
Bayview,-114.1,50.96
Bayview Beach,-79.53,44.23
Bayview Heights,-108.39,53.13
Bayview Park,-79.81,44.85
Bayview Point,-80.94,44.61
Bayview Village,-79.38,43.77
Baywood Park,-79.43,44.51
Beach Grove,-123.05,49.03
Beach Meadows,-64.63,44.06
Beachcomber Bay,-119.37,50.24
Beachside,-55.89,49.64
Beacon Heights,-113.4,53.57
Beacon Hill,-109.65,54.35
Beacon Hill North,-75.6,45.45
