Municipality,Latitude,Longitude
Aikwucks 15,49.76,-123.16
Aillik,55.21,-59.2
Ain 6,53.73,-132.42
Ainslie Glen,46.02,-61.13
Ainsworth Hot Springs,49.73,-116.91
Air Ronge,55.08,-105.34
Airlie,44.26,-80
Airy,45.49,-78.25
Aitchelitch 9,49.14,-121.99
Ak:tiis,50.01,-127.39
Akinsdale,53.62,-113.59
Akwesasne 59,45.04,-74.56
Akwesasne Reserve 15,45.01,-74.56
Alalco 8,51.05,-126.52
Alastair 80,54.13,-129.17
Alastair 81,54.1,-129.17
Alastair 82,54.06,-129.19
Alba,45.93,-61
Albany,44.77,-65.05
Albany Cross,44.72,-65.02
Albany New,44.45,-65.08
Alberni,49.25,-124.8
Alberni 2,49.21,-124.81
Albert,44.31,-77.13
Albert,52.11,-106.64
Albert Bridge,46.01,-60.05
Albert Flat 5,49.51,-121.41
Albert Head,48.39,-123.5
Albert Head Battery Point Training Area,48.38,-123.48
Albert Mines,45.87,-64.66
Albert Mines,45.32,-71.91
Albert Park,50.4,-104.63
Albert Park South,50.4,-104.63
Alberta Avenue,53.56,-113.48
Alberta Park Industrial,53.56,-113.59
Albion,49.18,-122.55
Albion,43.9,-79.84
Albion Falls,43.19,-79.81
Albro Lake,44.68,-63.58
Albuna,42.13,-82.63
Albury,44.07,-77.52
Alcida,47.77,-65.82
Alcomdale,53.89,-113.83
Alcove,45.68,-75.93
Alder,44.18,-79.38
Alder Creek 70,54.23,-129.42
Alder River,45.48,-61.71
Alderburn,49.11,-55.25
Alderdale,46.1,-79.26
Alderney Point,45.49,-60.95
Aldershot,43.3,-79.84
Aldershot Range and Training Area,45.09,-64.53
Alderslea,44.32,-79.53
Aldersville,44.81,-64.5
Aldersyde,50.67,-113.87
Alderville,44.18,-78.06
Alderville First Nation,44.17,-78.08
Alderwood,47.51,-64.99
Alderwood,43.6,-79.53
Aldred's Beach,44.16,-78.86
Alert Bay 1,50.59,-126.92
Alert Bay 1A,50.59,-126.94
Alexander 134,53.81,-113.96
Alexander 134a,54.28,-116.45
Alexander 134b,54.34,-114.81
Alexandra,46.19,-63.03
Alexandra Point Range,46.19,-63.05
Alexandria 1,52.56,-122.47
Alexandria 10,52.66,-122.6
Alexandria 11,52.63,-122.6
Alexandria 12,52.51,-122.32
Alexandria 1A,52.56,-122.45
Alexandria 3,52.58,-122.5
Alexandria 3A,52.56,-122.5
Alexandrina,46.31,-64.78
Alexis 133,53.73,-114.48
Alexis 9,49.21,-119.91
Alexis Cardinal River 234,52.85,-116.97
Alexis Creek 12,52.24,-124.23
Alexis Creek 13,52.2,-124.28
Alexis Creek 14,52.2,-124.31
Alexis Creek 15,52.18,-124.32
Alexis Creek 16,52.17,-124.31
Alexis Creek 17,52.2,-124.36
Alexis Creek 18,52.2,-124.35
Alexis Creek 20,52.32,-124.24
Alexis Creek 21,52.31,-124.26
Alexis Creek 22,52.32,-124.32
Alexis Creek 23,52.3,-124.34
Alexis Creek 24,52.3,-124.36
Alexis Creek 25,52.29,-124.4
Alexis Creek 26,52.3,-124.43
Alexis Creek 27,52.32,-124.41
Alexis Creek 28,52.35,-124.37
Alexis Creek 29,52.37,-124.4
Alexis Creek 30,52.38,-124.41
Alexis Creek 31,52.42,-124.4
Alexis Creek 32,52.44,-124.43
Alexis Creek 33,52.45,-124.46
Alexis Creek 34,52.48,-124.28
Alexis Creek 35,52.43,-124.23
Alexis Creek 6,52.34,-124.09
Alexis Elk River 233,52.92,-116.54
Alexis Thomas 1A,53.74,-125.24
Alexis Whitecourt 232,54.22,-115.81
Aleza Lake,54.11,-122.03
Alfred and Plantagenet,45.58,-74.91
Algoma Mills,46.18,-82.81
Algonquin,44.7,-75.66
Algonquin Highlands,45.39,-78.68
Algonquin Park,45.55,-78.59
Algrove,52.48,-103.88
Alhambra,52.34,-114.67
Alice,45.75,-77.29
Alice Beach,50.92,-105.16
Alixton 5,51.8,-122.13
Alkali Lake 1,51.78,-122.22
Alkali Lake 4A,51.82,-122.11
Alkhili 2,59.61,-133.67
Allains Creek,44.73,-65.52
Allainville,47.3,-65.25
Allan Mills,44.4,-77.72
Allan Park,44.16,-80.93
Allanburg,43.07,-79.2
Allandale,45.9,-67.29
Allans Corners,45.67,-77.09
Allan's Corners,45.16,-73.92
Allan's Island,46.85,-55.8
Allanwater Bridge,50.23,-90.16
Allard,48.16,-66.38
Allardville East,47.5,-65.38
Allen Hill,45.4,-64.71
Allen Rapids,55.03,-93.87
Allendale,53.5,-113.5
Allendale,43.75,-65.09
Allen's Mill,46.9,-71.96
Allensville,45.26,-79.3
Allenville,45.37,-64.7
Allenwood,44.57,-79.95
Allenwood Beach,44.57,-79.99
Alleyn-et-Cawood,45.91,-76.16
Allison,46.06,-64.91
Allison Bay 219,58.77,-111.03
Allisonville,44.02,-77.36
Alloa,43.7,-79.85
Allsaw,44.98,-78.61
Almira,43.93,-79.33
Almond Gardens,49.01,-118.5
Alnwick/Haldimand,44.11,-78.05
Alphonse Tommy 7,55.31,-126.63
Alpine Meadows,50.15,-122.96
Alpine Village,43.995,-79.475
Alport,45.02,-79.35
Alsace,46.03,-79.54
Alsfeldt,44.01,-80.94
Alsops Beach,44.44,-79.15
Alstonvale,45.47,-74.18
Alta Vista,45.38,-75.65
Alta Vista,50.8,-104.96
Altadore,51.01,-114.1
Altamont,49.33,-123.2
Altamont,49.39,-98.49
Altbergthal,49.09,-97.6
Althorpe,44.75,-76.47
Alticane,52.9,-107.48
Alton,45.18,-63.3
Alton,43.85,-80.06
Alvanley,44.53,-81.11
Alvena,52.51,-106.01
Amazon,51.55,-105.45
Amber River 211,58.89,-118.94
Amberley,44.04,-81.71
Ambleside,49.31,-123.15
Ambleside,44.01,-81.19
Amery,56.56,-94.06
Amesdale,50.01,-92.93
Amethyst Harbour,48.54,-88.87
Amherst Cove,48.57,-53.2
Amherst Head,45.88,-63.99
Amherst Point,45.78,-64.27
Amherst Pointe,42.05,-83.11
Amherst Range,45.82,-64.17
Amherst Shore,45.96,-63.89
Amherstview,44.22,-76.64
Amigari Downs,42.92,-78.94
Amigo Beach,44.68,-79.39
Amik Wachink Sakahikan,54.25,-94.96
Amiraults Hill,43.81,-65.97
Amisk Lake 184,54.58,-102.41
Amiskosakahikan 210,54.44,-102.14
Ammon,46.16,-64.84
Amostown,46.53,-66.2
Amsterdam,51.74,-102.45
Amulet,48.29,-79.02
Amulet,49.61,-104.75
Amulree,43.42,-80.83
Amyot,48.48,-84.95
Anagance,45.86,-65.25
Anagance Ridge,45.88,-65.31
Anahim 10,52.26,-122.93
Anahim 11,52.29,-122.93
Anahim 12,52.3,-122.97
Anahim 13,52.26,-122.99
Anahim 14,52.28,-123
Anahim 15,52.29,-123.02
Anahim 16,52.33,-123.08
Anahim 17,52.36,-123.06
Anahim 18,52.43,-123.2
Anahim 3,52.18,-123.07
Anahim 4,52.2,-123.07
Anahim 5,52.2,-123.01
Anahim 6,52.21,-123
Anahim 7,52.18,-122.96
Anahim 8,52.21,-122.95
Anahim 9,52.22,-122.94
Anahim's Flat 1,52.03,-123.16
Anahim's Meadow 2,52.11,-123.23
Anahim's Meadow 2A,52.1,-123.21
Anaqtl'a,48.8,-125.11
Ancaster,43.2,-80.01
Ancaster Heights,43.23,-79.96
Anchor Point,51.23,-56.78
Ancona Point,44.5,-78.61
Andak 9,55.44,-127.6
Anderson,54.38,-96.65
Anderson,43.755,-79.08
Anderson Lake,46.23,-81.73
Anderson Lake 5,50.54,-122.51
Anderson Mountain,45.62,-62.56
Anderson Settlement,46.11,-64.24
Andersonville,45.42,-67.25
Andimaul 1,55.1,-127.93
Andrew Bay,54.44,-94.63
Andrewsville,44.95,-75.82
Andy Cahoose Meadow 16,52.88,-125.73
Anerley,51.36,-107.31
Aneroid,49.71,-107.3
Anfield,46.92,-67.51
Angers,45.52,-75.49
Angevine Lake,45.73,-63.55
Anglia,51.56,-108.16
Anjou,45.6,-73.55
Anlaw 4,55.29,-127.67
Anmore,49.31,-122.85
Ann Island 7,51.27,-127.81
Annable Settlement,45.1,-75.35
Annan,44.61,-80.85
Annandale-Little Pond-Howe Bay,46.28,-62.41
Annapolis Valley First Nation,45.06,-64.65
Annidale,45.79,-65.78
Anniedale,49.16,-122.71
Annis,50.79,-119.08
Anoma Lea,44.63,-75.92
Ansnorveldt,44.08,-79.54
Anson,44.29,-77.59
Ansonia,46.31,-83.6
Ansonville,48.75,-80.68
Anthony,48.53,-80.59
Anthonys Cove,45.22,-66
Antigonish Harbour,45.71,-61.9
Antigonish Landing,45.63,-61.96
Antko 21,50.08,-120.76
Antrim,44.96,-63.35
Antrim,45.36,-76.22
Apex Mountain,49.39,-119.91
Appelo,47.19,-81.4
Apple River,45.46,-64.78
Appleby,43.37,-79.77
Appledale,49.65,-117.53
Appledore,42.52,-82.14
Applegrove,45.08,-72.18
Appleton,48.98,-54.85
Appleton,45.18,-76.12
Applewood Acres,44.485,-77.615
Applewood Heights,43.6,-79.59
Applewood Hills,43.61,-79.6
Applewood Park,51.04,-113.92
Apsagayu 1A,50.73,-126.48
Apto,44.5,-79.8
Aquadeo,53.13,-108.42
Aquaforte,47,-52.95
Arbakka,49.05,-96.47
Arbeatha Park,45.31,-75.82
Arbeau Settlement,46.64,-65.85
Arbor Vitae,48.89,-94.29
Arbour Lake,51.13,-114.2
Arbuthnot,49.81,-106.9
Arbutus Ridge,49.25,-123.16
Arcadia,43.82,-66.06
Ar-ce-wy-ee 4,50.54,-127
Archer,44.98,-75.1
Archibald Settlement,47.87,-66.06
Arctic Lake 10,54.43,-121.7
Ardath,51.61,-107.23
Ardbeg,45.64,-80.08
Ardendale,44.72,-76.94
Ardenode,51.14,-113.42
Ardness,45.69,-62.23
Ardoch,44.93,-76.9
Ardoise,44.95,-63.93
Ardrossan,53.55,-113.14
Ardtrea,44.68,-79.4
Arelee,52.25,-107.5
Argentia Beach,53.05,-114.01
Argosy,46.98,-67.7
Argyle,50.18,-97.45
Argyle,46.51,-67.34
Argyle,44.585,-63.89
Argyle,44.45,-79.01
Argyle Head,43.82,-65.85
Argyle Park,50.49,-104.62
Argyle Sound,43.69,-65.81
Argyll,53.5,-113.45
Arisaig,45.76,-62.16
Ariss,43.57,-80.36
Arkell,43.53,-80.16
Arklan,45.08,-76.34
Arkwright,44.45,-81.21
Arlington,45.19,-64.42
Arlington Beach,51.24,-105.23
Arlington East,44.93,-65.21
Arlington West,44.91,-65.27
Arlington Woods,45.32,-75.78
Armadale,43.83,-79.25
Armagh Station,46.72,-70.58
Armbro Heights,43.67,-79.74
Armdale,44.63,-63.62
Armena,53.12,-112.94
Armit,52.83,-101.78
Armitage,44.03,-79.47
Armley,53.11,-104.03
Armond,46.41,-67.38
Armour,45.62,-79.34
Armour Heights,43.74,-79.43
Armow,44.19,-81.51
Armstrong Brook,47.91,-65.96
Armstrong Industrial,53.56,-113.61
Armstrong Lake,44.77,-64.73
Armstrong Mills,43.62,-80.26
Armstrongs Corners,44.93,-76.3
Arnaud,49.25,-97.1
Arner,42.03,-82.82
Arnes,50.8,-96.99
Arnheim Place,50.43,-104.58
Arnold,49,-122.15
Arnott,44.43,-80.85
Arnstein,45.92,-79.93
Arntfield,48.19,-79.25
Aroland,50.23,-86.96
Aroland 83,50.21,-86.96
Arpin,48.92,-80.72
Arran,51.88,-101.71
Arran-Elderslie,44.39,-81.2
Arranvale,44.45,-81.14
Arras,55.75,-120.53
Arrow Creek,49.13,-116.45
Arrow River,50.14,-100.89
Arrowview Heights,49.23,-124.76
Arseneault,47.41,-61.77
Arthabaska,46.04,-71.92
Arthurville,46.82,-70.75
Artland,52.7,-109.88
Arundel,45.96,-74.61
Arva,43.05,-81.29
Arvida,48.42,-71.18
Asahal Lake 2,52.14,-122.01
Ascot,45.37,-71.9
Ascot Corner,45.45,-71.76
Ash,43.43,-79.81
Ashburn,44,-78.99
Ashburnham,44.3,-78.3
Ashby,46.13,-60.16
Ashby Mill,44.46,-77.82
Ashcroft 4,50.72,-121.31
Ashdad,45.35,-76.75
Ashdale,45.52,-62.04
Ashdale,45.3,-75.7
Ashfield,45.91,-61.16
Ashfield-Colborne-Wawanosh,43.88,-81.59
Ashgrove,43.6,-79.89
Ashland,46.31,-67.46
Ashmore,44.46,-65.97
Ashnola 10,49.21,-120
Ashton,45.15,-76.03
Ashton Creek,50.55,-119.01
Ashton Station,45.17,-76.05
Ashville,51.17,-100.29
Ashworth,45.34,-79.4
Asimakaniseekan Askiy 102A,52.12,-106.58
Asimakaniseekan Askiy 102B,52.12,-106.7
Askilton,45.69,-61.3
Aspdin,45.29,-79.37
Aspen Gardens,53.47,-113.54
Aspen Park,50.63,-97.02
Asphodel-Norwood,44.35,-78.01
Aspotogan,44.52,-64.05
Aspy Bay,46.92,-60.48
Assabaska,48.98,-94.43
Asselstine,44.24,-76.73
Assiginack,45.7,-81.88
Assineau River 150F,55.38,-115.18
Assiniboia East,50.43,-104.57
Assiniboine 76,50.34,-103.53
Astle,46.41,-66.47
Aston Station,46.18,-72.27
Aston-Jonction,46.16,-72.23
Atchelitz,49.11,-122.01
Atha Road,43.94,-79.17
Athalmer,50.51,-116.01
Athapap,54.57,-101.68
Athelstan,45.03,-74.17
Atherley,44.6,-79.36
Atherton,42.82,-80.44
Athlone,53.58,-113.54
Athlone,44.03,-79.88
Athol,45.67,-64.21
Athol,44.62,-76.055
Athol Road,45.63,-64.1
Atihkosanik Cree Nation,55.3,-95.75
Atikameg,55.91,-115.65
Atkinson,45.63,-63.72
Atkinson,44.38,-76.27
Atlanta,45.15,-64.49
Atlantic,43.58,-65.33
Atlin-Teslin Indian Cemetery 4,59.55,-133.69
Atluck,50.2,-126.98
Atmore,54.81,-112.54
Attawapiskat 91,53.58,-84.31
Attawapiskat 91A,52.92,-82.42
Attercliffe,42.99,-79.58
Attercliffe Station,42.96,-79.59
Atwater,50.77,-102.22
Atwoods Brook,43.5,-65.65
Aubert-Gallion,46.12,-70.7
Aubigny,49.45,-97.24
Aubrey,45.14,-73.79
Auburn,45.01,-64.87
Auburn Mills,44.31,-78.3
Auburndale,44.4,-64.59
Auburnville,47,-65.12
Auclair,47.73,-68.65
Auden,50.22,-87.89
Audet,45.65,-70.73
Audley,43.9,-79.01
Augier Lake 22,54.44,-125.61
Augsburg,45.52,-77.18
Augusta,44.75,-75.6
Aulac,45.87,-64.28
Aulds Cove,45.64,-61.43
Aumond,46.46,-75.9
Aupe 6,50.33,-125.07
Aupe 6A,50.33,-125.06
Austin Heights,49.25,-122.86
Austin's Flat 3,49.77,-121.44
Auteuil,45.63,-73.76
Authier,48.73,-78.85
Authier-Nord,48.83,-78.86
Avalon,52.09,-106.65
Avening,44.31,-80.07
Avery Island 92,54.21,-130.75
Avery Point,44.67,-79.11
Avon,46.06,-66.04
Avon,42.9,-80.93
Avonbank,43.32,-81.12
Avondale,46.31,-67.64
Avondale,47.39,-53.22
Avondale,45.325,-63.205
Avonhurst,50.63,-104.13
Avonry,42.75,-82.35
Avonton,43.35,-81.08
Axe Lake,45.39,-79.53
Aylechootlook 5,49.12,-122.1
Aylesbury,50.93,-105.69
Aylesford East,45.02,-64.81
Aylesford Lake,44.96,-64.67
Aylesford Mountain,45.06,-64.85
Aylesworth,44.28,-76.54
Aylsworth,48.54,-93.8
Aylwin,45.98,-76.02
Aylwin Station,45.97,-76.05
Aywawwis 15,49.39,-121.41
Azilda,46.55,-81.11
Azu Ski Village,55.38,-122.63
Babine 16,55.32,-126.64
Babine 17,55.02,-127.33
Babine 18,55.03,-127.38
Babine 25,54.81,-126.14
Babine 26,54.95,-126.12
Babine 6,55.32,-126.61
Babine Lake 20,55.06,-126.46
Babine Lake 21B,54.49,-125.64
Babine River 21,55.41,-126.68
Babine River 21A,55.41,-126.67
Baby Point,43.65,-79.49
Babys Point,42.64,-82.5
Baccaro,43.47,-65.47
Back Bay,45.05,-66.86
Back Centre,44.36,-64.35
Back Clarendon,45.43,-66.56
Back Cove,49.84,-56.56
Back Harbour,49.65,-54.78
Back Lots,47.04,-65.5
Bacon Cove,47.48,-53.17
Bacon Ridge,51,-99
Bacon's Bay,45.18,-72.02
Baddeck Bay,46.12,-60.71
Baddow,44.61,-78.75
Baden,52.78,-101.21
Badenoch,43.47,-80.08
Badger's Corners,45.39,-80.02
Badjeros,44.25,-80.28
Baezaeko River 25,52.98,-123.8
Baezaeko River 26,52.98,-123.81
Baezaeko River 27,52.98,-123.81
Bagdad,45.92,-65.86
Bagnall,42.34,-82.36
Bagot,49.96,-98.63
Bagotville,48.34,-70.89
Baie du Doré,44.33,-81.55
Baie Verte Road,45.98,-64.15
Baie-Carrière,47.84,-78.01
Baie-de-l'Ours,45.87,-75.12
Baie-des-Bacon,48.52,-69.27
Baie-des-Brises,45.19,-74.16
Baie-des-Capucins,49.04,-66.85
Baie-des-Cèdres,47.3,-79.45
Baie-des-Ha! Ha!,50.92,-58.97
Baie-de-Shawinigan,46.53,-72.76
Baie-des-Homards,49.83,-67.11
Baie-des-Rochers,47.95,-69.85
Baie-Dorval,46.98,-79.23
Baie-D'Urfé,45.41,-73.91
Baie-du-Tonnerre,44.8,-80.07
Baie-Jolie,46.28,-72.63
Baie-Laperrière,47.29,-79.44
Baie-Laval,48.77,-69.05
Baie-Noire,45.6,-75.19
Baie-Rouge,50.82,-58.95
Baie-Sainte-Anne,47.05,-64.95
Baie-Sainte-Catherine,48.1,-69.73
Baie-Saint-Ludger,49.09,-68.32
Baie-Trinité-Est,49.42,-67.28
Baie-Trinité-Ouest,49.42,-67.3
Baildon,50.26,-105.46
Bailey Corners,46.61,-80.81
Baileys Brook,45.66,-62.27
Bailieboro,44.13,-78.35
Baillie,45.38,-67.26
Baine Harbour,47.36,-54.89
Bains Corner,45.33,-65.64
Bainsville,45.18,-74.41
Baird,48.42,-89.42
Bairdsville,46.63,-67.71
Baker-Brook,47.3,-68.51
Bakers Brook,49.65,-57.95
Bakers Settlement,44.39,-64.67
Bala Park,45.01,-79.58
Balaclava,45.035,-78.855
Bald Rock,44.46,-63.58
Balderson,44.95,-76.32
Baldonnel,56.2,-120.68
Baldoon,42.49,-82.34
Baldwin,45.29,-80.545
Baldwin Mills,45.03,-71.9
Baldwins Bridge,45,-75.41
Baldwinton,52.78,-109.26
Baldy Hughes,53.61,-122.93
Balfour Beach,44.26,-79.49
Balfron,45.67,-63.23
Baljennie,52.55,-107.9
Balla Philip,46.48,-64.91
Ballantrae,44.03,-79.29
Ballantynes Cove,45.85,-61.92
Ballinafad,43.69,-80.01
Balls Creek,46.14,-60.31
Ballycanoe,44.53,-75.9
Ballycroy,43.97,-79.87
Ballydown Beach,44.24,-79.53
Ballyduff,44.13,-78.65
Ballyhack,47.43,-53.19
Ballymote,43.06,-81.23
Balm Beach,44.69,-80
Balmertown,51.05,-93.74
Balmoral Beach,49.66,-124.9
Balmoral Mills,45.64,-63.19
Balmy Beach,44.61,-80.94
Balone Beach,52.66,-105.6
Balsam,43.98,-79.06
Balsam Creek,46.41,-79.2
Balsam Grove,44.24,-76.53
Balsam Harbour,50.48,-96.57
Balsam Hill,45.48,-76.82
Baltics Corners,45.32,-74.79
Baltimore,45.88,-64.8
Baltimore,44.02,-78.14
Balvenie,45.26,-77.06
Balwin,53.58,-113.45
Bamberg,43.48,-80.68
Banbury,45.45,-79.52
Banda,44.28,-80.06
Banff Trail,51.06,-114.11
Banff Training Area,51.21,-115.53
Bangor,44.21,-66.09
Bangor,50.8,-102.34
Bangor Lodge,45.04,-79.39
Bangs Falls,44.24,-64.83
Bankeir,49.71,-120.23
Bankend,51.5,-103.84
Bankfield,49.69,-87.08
Banks,44.48,-80.35
Bankview,51.03,-114.1
Banner,43,-80.98
Bannerman,53.59,-113.37
Bannon,46.37,-67.46
Bapaume,53.38,-107.66
Baptiste,45.09,-77.97
Baptiste Louis 8,53.75,-125.38
Baptiste Meadow 2,51.99,-122.55
Bar Point,42.05,-83.11
Bar River,46.44,-84.02
Bar Road,45.09,-67.05
Barachois-Nord,48.63,-64.29
Barachois-Ouest,48.61,-64.31
Baranow,53.6,-113.53
Barb,45.51,-74.53
Barbers Bay,48.61,-80.9
Barber's Beach,43.42,-80.27
Barclay,44.29,-79.61
Barcovan Beach,44.02,-77.62
Bar-de-Cocagne,46.41,-64.62
Bardsville,45.09,-79.43
Bare Island 9,48.63,-123.28
Bareneed,47.57,-53.24
Barford,45.11,-71.79
Baring,50.25,-103.05
Barkers Point,45.95,-66.62
Barkerville,53.06,-121.51
Barkfield,49.33,-96.8
Barkhouse Settlement,44.94,-62.37
Barkmere,46,-74.58
Barkway,44.9,-79.17
Barlochan,45.03,-79.48
Barlow Creek,53.03,-122.43
Barnaby River,46.88,-65.51
Barnesdale,43.18,-79.27
Barnet,49.3,-122.91
Barnettville,46.76,-65.8
Barneys River Station,45.59,-62.26
Barnhart,48.72,-93.78
Barnhartvale,50.65,-120.16
Barnston Island,49.2,-122.71
Barnston Island 3,49.18,-122.69
Barnston-Ouest,45.1,-71.96
Barons,49.99,-113.08
Barony,45.97,-67.18
Barr Settlement,45.13,-63.62
Barra Glen,45.97,-60.84
Barra Head,45.67,-60.78
Barrachois,45.93,-61.845
Barrage-McLaren,45.84,-75.65
Barrage-Mistigougèche,48.17,-68.02
Barrage-Sainte-Marguerite,50.21,-66.65
Barr'd Harbour,50.81,-57.05
Barren Hill,45.68,-60.59
Barrett Chute,45.25,-76.75
Barrett Lake,54.45,-126.75
Barretville,42.09,-82.85
Barrhaven,45.27,-75.76
Barrieau,46.77,-65.27
Barriefield,44.24,-76.46
Barriefield Range and Training Area,44.24,-76.46
Barrier Ford,52.54,-103.71
Barriere,51.17,-120.12
Barriere River 3A,51.19,-120.11
Barrière-de-Laterrière,48.24,-71.25
Barrière-Mésy,48.26,-71.67
Barrillia Park,44.45,-79.49
Barrington Passage,43.52,-65.6
Barrington West,43.56,-65.59
Barronsfield,45.73,-64.35
Barrow Bay,44.95,-81.22
Barrowtown,49.1,-122.1
Barrydowne,46.51,-80.94
Barrymere,45.39,-77.66
Barryvale,45.28,-76.72
Barsa Subdivision,45.36,-65.96
Barss Corner,44.56,-64.68
Barter Settlement,45.2,-67.33
Bartholomew,46.7,-65.9
Bartibog,47.18,-65.4
Bartibog Bridge,47.09,-65.34
Bartlett Island 32,49.22,-126.08
Bartlett Island 7,50.32,-125.08
Bartletts Mills,45.2,-67.12
Barton,46.13,-67.03
Barton,44.53,-65.87
Bartonville,43.23,-79.8
Barville,48.51,-77.68
Barwick,48.64,-93.98
Bas-Cap-Pelé,46.23,-64.26
Bas-de-la-Baie,47.41,-70.51
Bas-de-l'Anse,47.7,-70.03
Bas-de-Sainte-Rose,45.65,-73.74
Base des Forces canadiennes Bagotville,48.32,-70.98
Base des Forces canadiennes Borden,44.26,-79.91
Base des Forces canadiennes Chilliwack,49.1,-121.96
Base des Forces canadiennes Cold Lake,54.4,-110.27
Base des Forces canadiennes Comox,49.71,-124.9
Base des Forces canadiennes Esquimalt,48.43,-123.42
Base des Forces canadiennes Gagetown,45.83,-66.45
Base des Forces canadiennes Goose Bay,53.3,-60.41
Base des Forces canadiennes Greenwood,44.98,-64.92
Base des Forces canadiennes Halifax,44.65,-63.58
Base des Forces canadiennes Kingston,44.24,-76.44
Base des Forces canadiennes Montréal,45.5,-73.42
Base des Forces canadiennes Moose Jaw,50.34,-105.55
Base des Forces canadiennes North Bay,46.35,-79.41
Base des Forces canadiennes Petawawa,45.91,-77.29
Base des Forces canadiennes Shilo,49.8,-99.63
Base des Forces canadiennes Suffield,50.27,-111.17
Base des Forces canadiennes Trenton,44.11,-77.54
Base des Forces canadiennes/unité de soutien de secteur Valcartier,46.96,-71.55
Basin Depot,45.72,-77.78
Basin Mines,46.61,-80.65
Basingstoke,43.1,-79.62
Baskin's Beach,45.47,-76.01
Basque 18,50.63,-121.32
Bass Creek,45.8,-82.01
Bass Lake Park,44.61,-79.48
Bass River Point,46.55,-65.04
Basse-Aboujagane,46.13,-64.41
Basse-Ville,45.43,-75.69
Basse-Ville,46.81,-71.23
Bassin,47.22,-61.93
Bassin-du-Lièvre,45.54,-75.43
Basswood,50.3,-100.03
Basswood Ridge,45.31,-67.35
Bastarache,46.45,-64.89
Batchelor Hills,50.71,-120.36
Bateman,50,-106.74
Batemans Mills,46.23,-64.62
Bates Settlement,46,-67.32
Bateston,46,-59.9
Bathurst Mines,47.4,-65.79
Batiscan,46.5,-72.25
Bat-l-ki 3,50.89,-126.4
Batteaux,44.46,-80.17
Battrum,50.55,-108.33
Baturyn,53.63,-113.5
Bauline,47.7,-52.81
Baxters Corners,45.16,-75.79
Baxters Harbour,45.22,-64.51
Bay Beach,42.86,-79.07
Bay du Vin,47.04,-65.13
Bay du Vin Beach,47.05,-65.13
Bay Road,45.21,-67.22
Bay Road Valley,46.96,-60.47
Bay St. Lawrence,47,-60.46
Bay View,45.37,-65.49
