Municipality,Province - Territory,Latitude,Longitude
Ahuntsic-Cartierville,Quebec,45.55,-73.66
Ah-we-cha-ol-to 16,British Columbia,50.53,-127.97
Aikwucks 15,British Columbia,49.76,-123.16
Aillik,Newfoundland and Labrador,55.21,-59.2
Ain 6,British Columbia,53.73,-132.42
Ainslie Glen,Nova Scotia,46.02,-61.13
Ainsworth Hot Springs,British Columbia,49.73,-116.91
Air Ronge,Saskatchewan,55.08,-105.34
Airlie,Ontario,44.26,-80
Airy,Ontario,45.49,-78.25
Aitchelitch 9,British Columbia,49.14,-121.99
Ak:tiis,British Columbia,50.01,-127.39
Akinsdale,Alberta,53.62,-113.59
Akwesasne 59,Ontario,45.04,-74.56
Akwesasne Reserve 15,Quebec,45.01,-74.56
Alalco 8,British Columbia,51.05,-126.52
Alastair 80,British Columbia,54.13,-129.17
Alastair 81,British Columbia,54.1,-129.17
Alastair 82,British Columbia,54.06,-129.19
Alba,Nova Scotia,45.93,-61
Albany,Nova Scotia,44.77,-65.05
Albany Cross,Nova Scotia,44.72,-65.02
Albany New,Nova Scotia,44.45,-65.08
Alberni,British Columbia,49.25,-124.8
Alberni 2,British Columbia,49.21,-124.81
Albert,Ontario,44.31,-77.13
Albert,Saskatchewan,52.11,-106.64
Albert Bridge,Nova Scotia,46.01,-60.05
Albert Flat 5,British Columbia,49.51,-121.41
Albert Head,British Columbia,48.39,-123.5
Albert Head Battery Point Training Area,British Columbia,48.38,-123.48
Albert Mines,New Brunswick,45.87,-64.66
Albert Mines,Quebec,45.32,-71.91
Albert Park,Saskatchewan,50.4,-104.63
Albert Park South,Saskatchewan,50.4,-104.63
Alberta Avenue,Alberta,53.56,-113.48
Alberta Park Industrial,Alberta,53.56,-113.59
Albion,British Columbia,49.18,-122.55
Albion,Ontario,43.9,-79.84
Albion Falls,Ontario,43.19,-79.81
Albro Lake,Nova Scotia,44.68,-63.58
Albuna,Ontario,42.13,-82.63
Albury,Ontario,44.07,-77.52
Alcida,New Brunswick,47.77,-65.82
Alcomdale,Alberta,53.89,-113.83
Alcove,Quebec,45.68,-75.93
Alder,Ontario,44.18,-79.38
Alder Creek 70,British Columbia,54.23,-129.42
Alder River,Nova Scotia,45.48,-61.71
Alderburn,Newfoundland and Labrador,49.11,-55.25
Alderdale,Ontario,46.1,-79.26
Alderney Point,Nova Scotia,45.49,-60.95
Aldershot,Ontario,43.3,-79.84
Aldershot Range and Training Area,Nova Scotia,45.09,-64.53
Alderslea,Ontario,44.32,-79.53
Aldersville,Nova Scotia,44.81,-64.5
Aldersyde,Alberta,50.67,-113.87
Alderville,Ontario,44.18,-78.06
Alderville First Nation,Ontario,44.17,-78.08
Alderwood,New Brunswick,47.51,-64.99
Alderwood,Ontario,43.6,-79.53
Aldred's Beach,Ontario,44.16,-78.86
Alert Bay 1,British Columbia,50.59,-126.92
Alert Bay 1A,British Columbia,50.59,-126.94
Alexander 134,Alberta,53.81,-113.96
Alexander 134a,Alberta,54.28,-116.45
Alexander 134b,Alberta,54.34,-114.81
Alexandra,Prince Edward Island,46.19,-63.03
Alexandra Point Range,Prince Edward Island,46.19,-63.05
Alexandria 1,British Columbia,52.56,-122.47
Alexandria 10,British Columbia,52.66,-122.6
Alexandria 11,British Columbia,52.63,-122.6
Alexandria 12,British Columbia,52.51,-122.32
Alexandria 1A,British Columbia,52.56,-122.45
Alexandria 3,British Columbia,52.58,-122.5
Alexandria 3A,British Columbia,52.56,-122.5
Alexandrina,New Brunswick,46.31,-64.78
Alexis 133,Alberta,53.73,-114.48
Alexis 9,British Columbia,49.21,-119.91
Alexis Cardinal River 234,Alberta,52.85,-116.97
Alexis Creek 12,British Columbia,52.24,-124.23
Alexis Creek 13,British Columbia,52.2,-124.28
Alexis Creek 14,British Columbia,52.2,-124.31
Alexis Creek 15,British Columbia,52.18,-124.32
Alexis Creek 16,British Columbia,52.17,-124.31
Alexis Creek 17,British Columbia,52.2,-124.36
Alexis Creek 18,British Columbia,52.2,-124.35
Alexis Creek 20,British Columbia,52.32,-124.24
Alexis Creek 21,British Columbia,52.31,-124.26
Alexis Creek 22,British Columbia,52.32,-124.32
Alexis Creek 23,British Columbia,52.3,-124.34
Alexis Creek 24,British Columbia,52.3,-124.36
Alexis Creek 25,British Columbia,52.29,-124.4
Alexis Creek 26,British Columbia,52.3,-124.43
Alexis Creek 27,British Columbia,52.32,-124.41
Alexis Creek 28,British Columbia,52.35,-124.37
Alexis Creek 29,British Columbia,52.37,-124.4
Alexis Creek 30,British Columbia,52.38,-124.41
Alexis Creek 31,British Columbia,52.42,-124.4
Alexis Creek 32,British Columbia,52.44,-124.43
Alexis Creek 33,British Columbia,52.45,-124.46
Alexis Creek 34,British Columbia,52.48,-124.28
Alexis Creek 35,British Columbia,52.43,-124.23
Alexis Creek 6,British Columbia,52.34,-124.09
Alexis Elk River 233,Alberta,52.92,-116.54
Alexis Thomas 1A,British Columbia,53.74,-125.24
Alexis Whitecourt 232,Alberta,54.22,-115.81
Aleza Lake,British Columbia,54.11,-122.03
Alfred and Plantagenet,Ontario,45.58,-74.91
Algoma Mills,Ontario,46.18,-82.81
Algonquin,Ontario,44.7,-75.66
Algonquin Highlands,Ontario,45.39,-78.68
Algonquin Park,Ontario,45.55,-78.59
Algrove,Saskatchewan,52.48,-103.88
Alhambra,Alberta,52.34,-114.67
Alice,Ontario,45.75,-77.29
Alice Beach,Saskatchewan,50.92,-105.16
Alixton 5,British Columbia,51.8,-122.13
Alkali Lake 1,British Columbia,51.78,-122.22
Alkali Lake 4A,British Columbia,51.82,-122.11
Alkhili 2,British Columbia,59.61,-133.67
Allains Creek,Nova Scotia,44.73,-65.52
Allainville,New Brunswick,47.3,-65.25
Allan Mills,Ontario,44.4,-77.72
Allan Park,Ontario,44.16,-80.93
Allanburg,Ontario,43.07,-79.2
Allandale,New Brunswick,45.9,-67.29
Allans Corners,Ontario,45.67,-77.09
Allan's Corners,Quebec,45.16,-73.92
Allan's Island,Newfoundland and Labrador,46.85,-55.8
Allanwater Bridge,Ontario,50.23,-90.16
Allard,Quebec,48.16,-66.38
Allardville East,New Brunswick,47.5,-65.38
Allen Hill,Nova Scotia,45.4,-64.71
Allen Rapids,Manitoba,55.03,-93.87
Allendale,Alberta,53.5,-113.5
Allendale,Nova Scotia,43.75,-65.09
Allen's Mill,Quebec,46.9,-71.96
Allensville,Ontario,45.26,-79.3
Allenville,Nova Scotia,45.37,-64.7
Allenwood,Ontario,44.57,-79.95
Allenwood Beach,Ontario,44.57,-79.99
Alleyn-et-Cawood,Quebec,45.91,-76.16
Allison,New Brunswick,46.06,-64.91
Allison Bay 219,Alberta,58.77,-111.03
Allisonville,Ontario,44.02,-77.36
Alloa,Ontario,43.7,-79.85
Allsaw,Ontario,44.98,-78.61
Almira,Ontario,43.93,-79.33
Almond Gardens,British Columbia,49.01,-118.5
Alnwick/Haldimand,Ontario,44.11,-78.05
Alphonse Tommy 7,British Columbia,55.31,-126.63
Alpine Meadows,British Columbia,50.15,-122.96
Alpine Village,Ontario,43.995,-79.475
Alport,Ontario,45.02,-79.35
Alsace,Ontario,46.03,-79.54
Alsfeldt,Ontario,44.01,-80.94
Alsops Beach,Ontario,44.44,-79.15
Alstonvale,Quebec,45.47,-74.18
Alta Vista,Ontario,45.38,-75.65
Alta Vista,Saskatchewan,50.8,-104.96
Altadore,Alberta,51.01,-114.1
Altamont,British Columbia,49.33,-123.2
Altamont,Manitoba,49.39,-98.49
Altbergthal,Manitoba,49.09,-97.6
Althorpe,Ontario,44.75,-76.47
Alticane,Saskatchewan,52.9,-107.48
Alton,Nova Scotia,45.18,-63.3
Alton,Ontario,43.85,-80.06
Alvanley,Ontario,44.53,-81.11
Alvena,Saskatchewan,52.51,-106.01
Amazon,Saskatchewan,51.55,-105.45
Amber River 211,Alberta,58.89,-118.94
Amberley,Ontario,44.04,-81.71
Ambleside,British Columbia,49.31,-123.15
Ambleside,Ontario,44.01,-81.19
Amery,Manitoba,56.56,-94.06
Amesdale,Ontario,50.01,-92.93
Amethyst Harbour,Ontario,48.54,-88.87
Amherst Cove,Newfoundland and Labrador,48.57,-53.2
Amherst Head,Nova Scotia,45.88,-63.99
Amherst Point,Nova Scotia,45.78,-64.27
Amherst Pointe,Ontario,42.05,-83.11
Amherst Range,Nova Scotia,45.82,-64.17
Amherst Shore,Nova Scotia,45.96,-63.89
Amherstview,Ontario,44.22,-76.64
Amigari Downs,Ontario,42.92,-78.94
Amigo Beach,Ontario,44.68,-79.39
Amik Wachink Sakahikan,Manitoba,54.25,-94.96
Amiraults Hill,Nova Scotia,43.81,-65.97
Amisk Lake 184,Saskatchewan,54.58,-102.41
Amiskosakahikan 210,Saskatchewan,54.44,-102.14
Ammon,New Brunswick,46.16,-64.84
Amostown,New Brunswick,46.53,-66.2
Amsterdam,Saskatchewan,51.74,-102.45
Amulet,Quebec,48.29,-79.02
Amulet,Saskatchewan,49.61,-104.75
Amulree,Ontario,43.42,-80.83
Amyot,Ontario,48.48,-84.95
Anagance,New Brunswick,45.86,-65.25
Anagance Ridge,New Brunswick,45.88,-65.31
Anahim 10,British Columbia,52.26,-122.93
Anahim 11,British Columbia,52.29,-122.93
Anahim 12,British Columbia,52.3,-122.97
Anahim 13,British Columbia,52.26,-122.99
Anahim 14,British Columbia,52.28,-123
Anahim 15,British Columbia,52.29,-123.02
Anahim 16,British Columbia,52.33,-123.08
Anahim 17,British Columbia,52.36,-123.06
Anahim 18,British Columbia,52.43,-123.2
Anahim 3,British Columbia,52.18,-123.07
Anahim 4,British Columbia,52.2,-123.07
Anahim 5,British Columbia,52.2,-123.01
Anahim 6,British Columbia,52.21,-123
Anahim 7,British Columbia,52.18,-122.96
Anahim 8,British Columbia,52.21,-122.95
Anahim 9,British Columbia,52.22,-122.94
Anahim's Flat 1,British Columbia,52.03,-123.16
Anahim's Meadow 2,British Columbia,52.11,-123.23
Anahim's Meadow 2A,British Columbia,52.1,-123.21
Anaqtl'a,British Columbia,48.8,-125.11
Ancaster,Ontario,43.2,-80.01
Ancaster Heights,Ontario,43.23,-79.96
Anchor Point,Newfoundland and Labrador,51.23,-56.78
Ancona Point,Ontario,44.5,-78.61
Andak 9,British Columbia,55.44,-127.6
Anderson,Manitoba,54.38,-96.65
Anderson,Ontario,43.755,-79.08
Anderson Lake,Ontario,46.23,-81.73
Anderson Lake 5,British Columbia,50.54,-122.51
Anderson Mountain,Nova Scotia,45.62,-62.56
Anderson Settlement,New Brunswick,46.11,-64.24
Andersonville,New Brunswick,45.42,-67.25
Andimaul 1,British Columbia,55.1,-127.93
Andrew Bay,Manitoba,54.44,-94.63
Andrewsville,Ontario,44.95,-75.82
Andy Cahoose Meadow 16,British Columbia,52.88,-125.73
Anerley,Saskatchewan,51.36,-107.31
Aneroid,Saskatchewan,49.71,-107.3
Anfield,New Brunswick,46.92,-67.51
Angers,Quebec,45.52,-75.49
Angevine Lake,Nova Scotia,45.73,-63.55
Anglia,Saskatchewan,51.56,-108.16
Anjou,Quebec,45.6,-73.55
Anlaw 4,British Columbia,55.29,-127.67
Anmore,British Columbia,49.31,-122.85
Ann Island 7,British Columbia,51.27,-127.81
Annable Settlement,Ontario,45.1,-75.35
Annan,Ontario,44.61,-80.85
Annandale-Little Pond-Howe Bay,Prince Edward Island,46.28,-62.41
Annapolis Valley First Nation,Nova Scotia,45.06,-64.65
Annidale,New Brunswick,45.79,-65.78
Anniedale,British Columbia,49.16,-122.71
Annis,British Columbia,50.79,-119.08
Anoma Lea,Ontario,44.63,-75.92
Ansnorveldt,Ontario,44.08,-79.54
Anson,Ontario,44.29,-77.59
Ansonia,Ontario,46.31,-83.6
Ansonville,Ontario,48.75,-80.68
Anthony,Ontario,48.53,-80.59
Anthonys Cove,New Brunswick,45.22,-66
Antigonish Harbour,Nova Scotia,45.71,-61.9
Antigonish Landing,Nova Scotia,45.63,-61.96
Antko 21,British Columbia,50.08,-120.76
Antrim,Nova Scotia,44.96,-63.35
Antrim,Ontario,45.36,-76.22
Apex Mountain,British Columbia,49.39,-119.91
Appelo,Ontario,47.19,-81.4
Apple River,Nova Scotia,45.46,-64.78
Appleby,Ontario,43.37,-79.77
Appledale,British Columbia,49.65,-117.53
Appledore,Ontario,42.52,-82.14
Applegrove,Quebec,45.08,-72.18
Appleton,Newfoundland and Labrador,48.98,-54.85
Appleton,Ontario,45.18,-76.12
Applewood Acres,Ontario,44.485,-77.615
Applewood Heights,Ontario,43.6,-79.59
Applewood Hills,Ontario,43.61,-79.6
Applewood Park,Alberta,51.04,-113.92
Apsagayu 1A,British Columbia,50.73,-126.48
Apto,Ontario,44.5,-79.8
Aquadeo,Saskatchewan,53.13,-108.42
Aquaforte,Newfoundland and Labrador,47,-52.95
Arbakka,Manitoba,49.05,-96.47
Arbeatha Park,Ontario,45.31,-75.82
Arbeau Settlement,New Brunswick,46.64,-65.85
Arbor Vitae,Ontario,48.89,-94.29
Arbour Lake,Alberta,51.13,-114.2
Arbuthnot,Saskatchewan,49.81,-106.9
Arbutus Ridge,British Columbia,49.25,-123.16
Arcadia,Nova Scotia,43.82,-66.06
Ar-ce-wy-ee 4,British Columbia,50.54,-127
Archer,Ontario,44.98,-75.1
Archibald Settlement,New Brunswick,47.87,-66.06
Arctic Lake 10,British Columbia,54.43,-121.7
Ardath,Saskatchewan,51.61,-107.23
Ardbeg,Ontario,45.64,-80.08
Ardendale,Ontario,44.72,-76.94
Ardenode,Alberta,51.14,-113.42
Ardness,Nova Scotia,45.69,-62.23
Ardoch,Ontario,44.93,-76.9
Ardoise,Nova Scotia,44.95,-63.93
Ardrossan,Alberta,53.55,-113.14
Ardtrea,Ontario,44.68,-79.4
Arelee,Saskatchewan,52.25,-107.5
Argentia Beach,Alberta,53.05,-114.01
Argosy,New Brunswick,46.98,-67.7
Argyle,Manitoba,50.18,-97.45
Argyle,New Brunswick,46.51,-67.34
Argyle,Nova Scotia,44.585,-63.89
Argyle,Ontario,44.45,-79.01
Argyle Head,Nova Scotia,43.82,-65.85
Argyle Park,Saskatchewan,50.49,-104.62
Argyle Sound,Nova Scotia,43.69,-65.81
Argyll,Alberta,53.5,-113.45
Arisaig,Nova Scotia,45.76,-62.16
Ariss,Ontario,43.57,-80.36
Arkell,Ontario,43.53,-80.16
Arklan,Ontario,45.08,-76.34
Arkwright,Ontario,44.45,-81.21
Arlington,Nova Scotia,45.19,-64.42
Arlington Beach,Saskatchewan,51.24,-105.23
Arlington East,Nova Scotia,44.93,-65.21
Arlington West,Nova Scotia,44.91,-65.27
Arlington Woods,Ontario,45.32,-75.78
Armadale,Ontario,43.83,-79.25
Armagh Station,Quebec,46.72,-70.58
Armbro Heights,Ontario,43.67,-79.74
Armdale,Nova Scotia,44.63,-63.62
Armena,Alberta,53.12,-112.94
Armit,Saskatchewan,52.83,-101.78
Armitage,Ontario,44.03,-79.47
Armley,Saskatchewan,53.11,-104.03
Armond,New Brunswick,46.41,-67.38
Armour,Ontario,45.62,-79.34
Armour Heights,Ontario,43.74,-79.43
Armow,Ontario,44.19,-81.51
Armstrong Brook,New Brunswick,47.91,-65.96
Armstrong Industrial,Alberta,53.56,-113.61
Armstrong Lake,Nova Scotia,44.77,-64.73
Armstrong Mills,Ontario,43.62,-80.26
Armstrongs Corners,Ontario,44.93,-76.3
Arnaud,Manitoba,49.25,-97.1
Arner,Ontario,42.03,-82.82
Arnes,Manitoba,50.8,-96.99
Arnheim Place,Saskatchewan,50.43,-104.58
Arnold,British Columbia,49,-122.15
Arnott,Ontario,44.43,-80.85
Arnstein,Ontario,45.92,-79.93
Arntfield,Quebec,48.19,-79.25
Aroland,Ontario,50.23,-86.96
Aroland 83,Ontario,50.21,-86.96
Arpin,Ontario,48.92,-80.72
Arran,Saskatchewan,51.88,-101.71
Arran-Elderslie,Ontario,44.39,-81.2
Arranvale,Ontario,44.45,-81.14
Arras,British Columbia,55.75,-120.53
Arrow Creek,British Columbia,49.13,-116.45
Arrow River,Manitoba,50.14,-100.89
Arrowview Heights,British Columbia,49.23,-124.76
Arseneault,Quebec,47.41,-61.77
Arthabaska,Quebec,46.04,-71.92
Arthurville,Quebec,46.82,-70.75
Artland,Saskatchewan,52.7,-109.88
Arundel,Quebec,45.96,-74.61
Arva,Ontario,43.05,-81.29
Arvida,Quebec,48.42,-71.18
Asahal Lake 2,British Columbia,52.14,-122.01
Ascot,Quebec,45.37,-71.9
Ascot Corner,Quebec,45.45,-71.76
Ash,Ontario,43.43,-79.81
Ashburn,Ontario,44,-78.99
Ashburnham,Ontario,44.3,-78.3
Ashby,Nova Scotia,46.13,-60.16
Ashby Mill,Ontario,44.46,-77.82
Ashcroft 4,British Columbia,50.72,-121.31
Ashdad,Ontario,45.35,-76.75
Ashdale,Nova Scotia,45.52,-62.04
Ashdale,Ontario,45.3,-75.7
Ashfield,Nova Scotia,45.91,-61.16
Ashfield-Colborne-Wawanosh,Ontario,43.88,-81.59
Ashgrove,Ontario,43.6,-79.89
Ashland,New Brunswick,46.31,-67.46
Ashmore,Nova Scotia,44.46,-65.97
Ashnola 10,British Columbia,49.21,-120
Ashton,Ontario,45.15,-76.03
Ashton Creek,British Columbia,50.55,-119.01
Ashton Station,Ontario,45.17,-76.05
Ashville,Manitoba,51.17,-100.29
Ashworth,Ontario,45.34,-79.4
Asimakaniseekan Askiy 102A,Saskatchewan,52.12,-106.58
Asimakaniseekan Askiy 102B,Saskatchewan,52.12,-106.7
Askilton,Nova Scotia,45.69,-61.3
Aspdin,Ontario,45.29,-79.37
Aspen Gardens,Alberta,53.47,-113.54
Aspen Park,Manitoba,50.63,-97.02
Asphodel-Norwood,Ontario,44.35,-78.01
Aspotogan,Nova Scotia,44.52,-64.05
Aspy Bay,Nova Scotia,46.92,-60.48
Assabaska,Ontario,48.98,-94.43
Asselstine,Ontario,44.24,-76.73
Assiginack,Ontario,45.7,-81.88
Assineau River 150F,Alberta,55.38,-115.18
Assiniboia East,Saskatchewan,50.43,-104.57
Assiniboine 76,Saskatchewan,50.34,-103.53
Astle,New Brunswick,46.41,-66.47
Aston Station,Quebec,46.18,-72.27
Aston-Jonction,Quebec,46.16,-72.23
Atchelitz,British Columbia,49.11,-122.01
Atha Road,Ontario,43.94,-79.17
Athalmer,British Columbia,50.51,-116.01
Athapap,Manitoba,54.57,-101.68
Athelstan,Quebec,45.03,-74.17
Atherley,Ontario,44.6,-79.36
Atherton,Ontario,42.82,-80.44
Athlone,Alberta,53.58,-113.54
Athlone,Ontario,44.03,-79.88
Athol,Nova Scotia,45.67,-64.21
Athol,Ontario,44.62,-76.055
Athol Road,Nova Scotia,45.63,-64.1
Atihkosanik Cree Nation,Manitoba,55.3,-95.75
Atikameg,Alberta,55.91,-115.65
Atkinson,Nova Scotia,45.63,-63.72
Atkinson,Ontario,44.38,-76.27
Atlanta,Nova Scotia,45.15,-64.49
Atlantic,Nova Scotia,43.58,-65.33
Atlin-Teslin Indian Cemetery 4,British Columbia,59.55,-133.69
Atluck,British Columbia,50.2,-126.98
Atmore,Alberta,54.81,-112.54
Attawapiskat 91,Ontario,53.58,-84.31
Attawapiskat 91A,Ontario,52.92,-82.42
Attercliffe,Ontario,42.99,-79.58
Attercliffe Station,Ontario,42.96,-79.59
Atwater,Saskatchewan,50.77,-102.22
Atwoods Brook,Nova Scotia,43.5,-65.65
Aubert-Gallion,Quebec,46.12,-70.7
Aubigny,Manitoba,49.45,-97.24
Aubrey,Quebec,45.14,-73.79
Auburn,Nova Scotia,45.01,-64.87
Auburn Mills,Ontario,44.31,-78.3
Auburndale,Nova Scotia,44.4,-64.59
Auburnville,New Brunswick,47,-65.12
Auclair,Quebec,47.73,-68.65
Auden,Ontario,50.22,-87.89
Audet,Quebec,45.65,-70.73
Audley,Ontario,43.9,-79.01
Augier Lake 22,British Columbia,54.44,-125.61
Augsburg,Ontario,45.52,-77.18
Augusta,Ontario,44.75,-75.6
Aulac,New Brunswick,45.87,-64.28
Aulds Cove,Nova Scotia,45.64,-61.43
Aumond,Quebec,46.46,-75.9
Aupe 6,British Columbia,50.33,-125.07
Aupe 6A,British Columbia,50.33,-125.06
Austin Heights,British Columbia,49.25,-122.86
Austin's Flat 3,British Columbia,49.77,-121.44
Auteuil,Quebec,45.63,-73.76
Authier,Quebec,48.73,-78.85
Authier-Nord,Quebec,48.83,-78.86
Avalon,Saskatchewan,52.09,-106.65
Avening,Ontario,44.31,-80.07
Avery Island 92,British Columbia,54.21,-130.75
Avery Point,Ontario,44.67,-79.11
Avon,New Brunswick,46.06,-66.04
Avon,Ontario,42.9,-80.93
Avonbank,Ontario,43.32,-81.12
Avondale,New Brunswick,46.31,-67.64
Avondale,Newfoundland and Labrador,47.39,-53.22
Avondale,Nova Scotia,45.325,-63.205
Avonhurst,Saskatchewan,50.63,-104.13
Avonry,Ontario,42.75,-82.35
Avonton,Ontario,43.35,-81.08
Axe Lake,Ontario,45.39,-79.53
Aylechootlook 5,British Columbia,49.12,-122.1
Aylesbury,Saskatchewan,50.93,-105.69
Aylesford East,Nova Scotia,45.02,-64.81
Aylesford Lake,Nova Scotia,44.96,-64.67
Aylesford Mountain,Nova Scotia,45.06,-64.85
Aylesworth,Ontario,44.28,-76.54
Aylsworth,Ontario,48.54,-93.8
Aylwin,Quebec,45.98,-76.02
Aylwin Station,Quebec,45.97,-76.05
Aywawwis 15,British Columbia,49.39,-121.41
Azilda,Ontario,46.55,-81.11
Azu Ski Village,British Columbia,55.38,-122.63
Babine 16,British Columbia,55.32,-126.64
Babine 17,British Columbia,55.02,-127.33
Babine 18,British Columbia,55.03,-127.38
Babine 25,British Columbia,54.81,-126.14
Babine 26,British Columbia,54.95,-126.12
Babine 6,British Columbia,55.32,-126.61
Babine Lake 20,British Columbia,55.06,-126.46
Babine Lake 21B,British Columbia,54.49,-125.64
Babine River 21,British Columbia,55.41,-126.68
Babine River 21A,British Columbia,55.41,-126.67
Baby Point,Ontario,43.65,-79.49
Babys Point,Ontario,42.64,-82.5
Baccaro,Nova Scotia,43.47,-65.47
Back Bay,New Brunswick,45.05,-66.86
Back Centre,Nova Scotia,44.36,-64.35
Back Clarendon,New Brunswick,45.43,-66.56
Back Cove,Newfoundland and Labrador,49.84,-56.56
Back Harbour,Newfoundland and Labrador,49.65,-54.78
Back Lots,New Brunswick,47.04,-65.5
Bacon Cove,Newfoundland and Labrador,47.48,-53.17
Bacon Ridge,Manitoba,51,-99
Bacon's Bay,Quebec,45.18,-72.02
Baddeck Bay,Nova Scotia,46.12,-60.71
Baddow,Ontario,44.61,-78.75
Baden,Manitoba,52.78,-101.21
Badenoch,Ontario,43.47,-80.08
Badger's Corners,Ontario,45.39,-80.02
Badjeros,Ontario,44.25,-80.28
Baezaeko River 25,British Columbia,52.98,-123.8
Baezaeko River 26,British Columbia,52.98,-123.81
Baezaeko River 27,British Columbia,52.98,-123.81
Bagdad,New Brunswick,45.92,-65.86
Bagnall,Ontario,42.34,-82.36
Bagot,Manitoba,49.96,-98.63
Bagotville,Quebec,48.34,-70.89
Baie du Doré,Ontario,44.33,-81.55
Baie Verte Road,New Brunswick,45.98,-64.15
Baie-Carrière,Quebec,47.84,-78.01
Baie-de-l'Ours,Quebec,45.87,-75.12
Baie-des-Bacon,Quebec,48.52,-69.27
Baie-des-Brises,Quebec,45.19,-74.16
Baie-des-Capucins,Quebec,49.04,-66.85
Baie-des-Cèdres,Quebec,47.3,-79.45
Baie-des-Ha! Ha!,Quebec,50.92,-58.97
Baie-de-Shawinigan,Quebec,46.53,-72.76
Baie-des-Homards,Quebec,49.83,-67.11
Baie-des-Rochers,Quebec,47.95,-69.85
Baie-Dorval,Quebec,46.98,-79.23
Baie-D'Urfé,Quebec,45.41,-73.91
Baie-du-Tonnerre,Ontario,44.8,-80.07
Baie-Jolie,Quebec,46.28,-72.63
Baie-Laperrière,Quebec,47.29,-79.44
Baie-Laval,Quebec,48.77,-69.05
Baie-Noire,Quebec,45.6,-75.19
Baie-Rouge,Quebec,50.82,-58.95
