,Municipality,Longitude,Latitude
103,Albany,-65.05,44.77
104,Albany Cross,-65.02,44.72
105,Albany New,-65.08,44.45
106,Alberni,-124.8,49.25
107,Alberni 2,-124.81,49.21
108,Albert,-77.13,44.31
110,Albert Bridge,-60.05,46.01
111,Albert Flat 5,-121.41,49.51
112,Albert Head,-123.5,48.39
113,Albert Head Battery Point Training Area,-123.48,48.38
114,Albert Mines,-64.66,45.87
116,Albert Park,-104.63,50.4
117,Albert Park South,-104.63,50.4
118,Alberta Avenue,-113.48,53.56
119,Alberta Park Industrial,-113.59,53.56
120,Albion,-122.55,49.18
122,Albion Falls,-79.81,43.19
123,Albro Lake,-63.58,44.68
124,Albuna,-82.63,42.13
125,Albury,-77.52,44.07
126,Alcida,-65.82,47.77
127,Alcomdale,-113.83,53.89
128,Alcove,-75.93,45.68
129,Alder,-79.38,44.18
130,Alder Creek 70,-129.42,54.23
131,Alder River,-61.71,45.48
132,Alderburn,-55.25,49.11
133,Alderdale,-79.26,46.1
134,Alderney Point,-60.95,45.49
135,Aldershot,-79.84,43.3
136,Aldershot Range and Training Area,-64.53,45.09
137,Alderslea,-79.53,44.32
138,Aldersville,-64.5,44.81
139,Aldersyde,-113.87,50.67
140,Alderville,-78.06,44.18
141,Alderville First Nation,-78.08,44.17
142,Alderwood,-64.99,47.51
144,Aldred's Beach,-78.86,44.16
145,Alert Bay 1,-126.92,50.59
146,Alert Bay 1A,-126.94,50.59
147,Alexander 134,-113.96,53.81
148,Alexander 134a,-116.45,54.28
149,Alexander 134b,-114.81,54.34
150,Alexandra,-63.03,46.19
151,Alexandra Point Range,-63.05,46.19
152,Alexandria 1,-122.47,52.56
153,Alexandria 10,-122.6,52.66
154,Alexandria 11,-122.6,52.63
155,Alexandria 12,-122.32,52.51
156,Alexandria 1A,-122.45,52.56
157,Alexandria 3,-122.5,52.58
158,Alexandria 3A,-122.5,52.56
159,Alexandrina,-64.78,46.31
160,Alexis 133,-114.48,53.73
161,Alexis 9,-119.91,49.21
162,Alexis Cardinal River 234,-116.97,52.85
163,Alexis Creek 12,-124.23,52.24
164,Alexis Creek 13,-124.28,52.2
165,Alexis Creek 14,-124.31,52.2
166,Alexis Creek 15,-124.32,52.18
167,Alexis Creek 16,-124.31,52.17
168,Alexis Creek 17,-124.36,52.2
169,Alexis Creek 18,-124.35,52.2
170,Alexis Creek 20,-124.24,52.32
171,Alexis Creek 21,-124.26,52.31
172,Alexis Creek 22,-124.32,52.32
173,Alexis Creek 23,-124.34,52.3
174,Alexis Creek 24,-124.36,52.3
175,Alexis Creek 25,-124.4,52.29
176,Alexis Creek 26,-124.43,52.3
177,Alexis Creek 27,-124.41,52.32
178,Alexis Creek 28,-124.37,52.35
179,Alexis Creek 29,-124.4,52.37
180,Alexis Creek 30,-124.41,52.38
181,Alexis Creek 31,-124.4,52.42
182,Alexis Creek 32,-124.43,52.44
183,Alexis Creek 33,-124.46,52.45
184,Alexis Creek 34,-124.28,52.48
185,Alexis Creek 35,-124.23,52.43
186,Alexis Creek 6,-124.09,52.34
187,Alexis Elk River 233,-116.54,52.92
188,Alexis Thomas 1A,-125.24,53.74
189,Alexis Whitecourt 232,-115.81,54.22
190,Aleza Lake,-122.03,54.11
191,Alfred and Plantagenet,-74.91,45.58
192,Algoma Mills,-82.81,46.18
193,Algonquin,-75.66,44.7
194,Algonquin Highlands,-78.68,45.39
195,Algonquin Park,-78.59,45.55
196,Algrove,-103.88,52.48
197,Alhambra,-114.67,52.34
198,Alice,-77.29,45.75
199,Alice Beach,-105.16,50.92
200,Alixton 5,-122.13,51.8
201,Alkali Lake 1,-122.22,51.78
202,Alkali Lake 4A,-122.11,51.82
203,Alkhili 2,-133.67,59.61
204,Allains Creek,-65.52,44.73
205,Allainville,-65.25,47.3
206,Allan Mills,-77.72,44.4
207,Allan Park,-80.93,44.16
208,Allanburg,-79.2,43.07
209,Allandale,-67.29,45.9
210,Allans Corners,-77.09,45.67
211,Allan's Corners,-73.92,45.16
212,Allan's Island,-55.8,46.85
213,Allanwater Bridge,-90.16,50.23
214,Allard,-66.38,48.16
215,Allardville East,-65.38,47.5
216,Allen Hill,-64.71,45.4
217,Allen Rapids,-93.87,55.03
218,Allendale,-113.5,53.5
220,Allen's Mill,-71.96,46.9
221,Allensville,-79.3,45.26
222,Allenville,-64.7,45.37
223,Allenwood,-79.95,44.57
224,Allenwood Beach,-79.99,44.57
225,Alleyn-et-Cawood,-76.16,45.91
226,Allison,-64.91,46.06
227,Allison Bay 219,-111.03,58.77
228,Allisonville,-77.36,44.02
229,Alloa,-79.85,43.7
230,Allsaw,-78.61,44.98
231,Almira,-79.33,43.93
232,Almond Gardens,-118.5,49.01
233,Alnwick/Haldimand,-78.05,44.11
234,Alphonse Tommy 7,-126.63,55.31
235,Alpine Meadows,-122.96,50.15
236,Alpine Village,-79.475,43.995
237,Alport,-79.35,45.02
238,Alsace,-79.54,46.03
239,Alsfeldt,-80.94,44.01
240,Alsops Beach,-79.15,44.44
241,Alstonvale,-74.18,45.47
242,Alta Vista,-75.65,45.38
244,Altadore,-114.1,51.01
245,Altamont,-123.2,49.33
247,Altbergthal,-97.6,49.09
248,Althorpe,-76.47,44.75
249,Alticane,-107.48,52.9
250,Alton,-63.3,45.18
252,Alvanley,-81.11,44.53
253,Alvena,-106.01,52.51
254,Amazon,-105.45,51.55
255,Amber River 211,-118.94,58.89
256,Amberley,-81.71,44.04
257,Ambleside,-123.15,49.31
259,Amery,-94.06,56.56
260,Amesdale,-92.93,50.01
261,Amethyst Harbour,-88.87,48.54
262,Amherst Cove,-53.2,48.57
263,Amherst Head,-63.99,45.88
264,Amherst Point,-64.27,45.78
265,Amherst Pointe,-83.11,42.05
266,Amherst Range,-64.17,45.82
267,Amherst Shore,-63.89,45.96
268,Amherstview,-76.64,44.22
269,Amigari Downs,-78.94,42.92
270,Amigo Beach,-79.39,44.68
271,Amik Wachink Sakahikan,-94.96,54.25
272,Amiraults Hill,-65.97,43.81
273,Amisk Lake 184,-102.41,54.58
274,Amiskosakahikan 210,-102.14,54.44
275,Ammon,-64.84,46.16
276,Amostown,-66.2,46.53
277,Amsterdam,-102.45,51.74
278,Amulet,-79.02,48.29
280,Amulree,-80.83,43.42
281,Amyot,-84.95,48.48
282,Anagance,-65.25,45.86
283,Anagance Ridge,-65.31,45.88
284,Anahim 10,-122.93,52.26
285,Anahim 11,-122.93,52.29
286,Anahim 12,-122.97,52.3
287,Anahim 13,-122.99,52.26
288,Anahim 14,-123.0,52.28
289,Anahim 15,-123.02,52.29
290,Anahim 16,-123.08,52.33
291,Anahim 17,-123.06,52.36
292,Anahim 18,-123.2,52.43
293,Anahim 3,-123.07,52.18
294,Anahim 4,-123.07,52.2
295,Anahim 5,-123.01,52.2
296,Anahim 6,-123.0,52.21
297,Anahim 7,-122.96,52.18
298,Anahim 8,-122.95,52.21
299,Anahim 9,-122.94,52.22
300,Anahim's Flat 1,-123.16,52.03
301,Anahim's Meadow 2,-123.23,52.11
302,Anahim's Meadow 2A,-123.21,52.1
303,Anaqtl'a,-125.11,48.8
304,Ancaster,-80.01,43.2
305,Ancaster Heights,-79.96,43.23
306,Anchor Point,-56.78,51.23
307,Ancona Point,-78.61,44.5
308,Andak 9,-127.6,55.44
309,Anderson,-96.65,54.38
311,Anderson Lake,-81.73,46.23
312,Anderson Lake 5,-122.51,50.54
313,Anderson Mountain,-62.56,45.62
314,Anderson Settlement,-64.24,46.11
315,Andersonville,-67.25,45.42
316,Andimaul 1,-127.93,55.1
317,Andrew Bay,-94.63,54.44
318,Andrewsville,-75.82,44.95
319,Andy Cahoose Meadow 16,-125.73,52.88
320,Anerley,-107.31,51.36
321,Aneroid,-107.3,49.71
322,Anfield,-67.51,46.92
323,Angers,-75.49,45.52
324,Angevine Lake,-63.55,45.73
325,Anglia,-108.16,51.56
326,Anjou,-73.55,45.6
327,Anlaw 4,-127.67,55.29
328,Anmore,-122.85,49.31
329,Ann Island 7,-127.81,51.27
330,Annable Settlement,-75.35,45.1
331,Annan,-80.85,44.61
332,Annandale-Little Pond-Howe Bay,-62.41,46.28
333,Annapolis Valley First Nation,-64.65,45.06
334,Annidale,-65.78,45.79
335,Anniedale,-122.71,49.16
336,Annis,-119.08,50.79
337,Anoma Lea,-75.92,44.63
338,Ansnorveldt,-79.54,44.08
339,Anson,-77.59,44.29
340,Ansonia,-83.6,46.31
341,Ansonville,-80.68,48.75
342,Anthony,-80.59,48.53
343,Anthonys Cove,-66.0,45.22
344,Antigonish Harbour,-61.9,45.71
345,Antigonish Landing,-61.96,45.63
346,Antko 21,-120.76,50.08
347,Antrim,-63.35,44.96
349,Apex Mountain,-119.91,49.39
350,Appelo,-81.4,47.19
351,Apple River,-64.78,45.46
352,Appleby,-79.77,43.37
353,Appledale,-117.53,49.65
354,Appledore,-82.14,42.52
355,Applegrove,-72.18,45.08
356,Appleton,-54.85,48.98
358,Applewood Acres,-77.615,44.485
359,Applewood Heights,-79.59,43.6
360,Applewood Hills,-79.6,43.61
361,Applewood Park,-113.92,51.04
362,Apsagayu 1A,-126.48,50.73
363,Apto,-79.8,44.5
364,Aquadeo,-108.42,53.13
365,Aquaforte,-52.95,47.0
366,Arbakka,-96.47,49.05
367,Arbeatha Park,-75.82,45.31
368,Arbeau Settlement,-65.85,46.64
369,Arbor Vitae,-94.29,48.89
370,Arbour Lake,-114.2,51.13
371,Arbuthnot,-106.9,49.81
372,Arbutus Ridge,-123.16,49.25
373,Arcadia,-66.06,43.82
374,Ar-ce-wy-ee 4,-127.0,50.54
375,Archer,-75.1,44.98
376,Archibald Settlement,-66.06,47.87
377,Arctic Lake 10,-121.7,54.43
378,Ardath,-107.23,51.61
379,Ardbeg,-80.08,45.64
380,Ardendale,-76.94,44.72
381,Ardenode,-113.42,51.14
382,Ardness,-62.23,45.69
383,Ardoch,-76.9,44.93
384,Ardoise,-63.93,44.95
385,Ardrossan,-113.14,53.55
386,Ardtrea,-79.4,44.68
387,Arelee,-107.5,52.25
388,Argentia Beach,-114.01,53.05
389,Argosy,-67.7,46.98
390,Argyle,-97.45,50.18
394,Argyle Head,-65.85,43.82
395,Argyle Park,-104.62,50.49
396,Argyle Sound,-65.81,43.69
397,Argyll,-113.45,53.5
398,Arisaig,-62.16,45.76
399,Ariss,-80.36,43.57
400,Arkell,-80.16,43.53
401,Arklan,-76.34,45.08
402,Arkwright,-81.21,44.45
403,Arlington,-64.42,45.19
404,Arlington Beach,-105.23,51.24
405,Arlington East,-65.21,44.93
406,Arlington West,-65.27,44.91
407,Arlington Woods,-75.78,45.32
408,Armadale,-79.25,43.83
409,Armagh Station,-70.58,46.72
410,Armbro Heights,-79.74,43.67
411,Armdale,-63.62,44.63
412,Armena,-112.94,53.12
413,Armit,-101.78,52.83
414,Armitage,-79.47,44.03
415,Armley,-104.03,53.11
416,Armond,-67.38,46.41
417,Armour,-79.34,45.62
418,Armour Heights,-79.43,43.74
419,Armow,-81.51,44.19
420,Armstrong Brook,-65.96,47.91
421,Armstrong Industrial,-113.61,53.56
422,Armstrong Lake,-64.73,44.77
423,Armstrong Mills,-80.26,43.62
424,Armstrongs Corners,-76.3,44.93
425,Arnaud,-97.1,49.25
426,Arner,-82.82,42.03
427,Arnes,-96.99,50.8
428,Arnheim Place,-104.58,50.43
429,Arnold,-122.15,49.0
430,Arnott,-80.85,44.43
431,Arnstein,-79.93,45.92
432,Arntfield,-79.25,48.19
433,Aroland,-86.96,50.23
434,Aroland 83,-86.96,50.21
435,Arpin,-80.72,48.92
436,Arran,-101.71,51.88
437,Arran-Elderslie,-81.2,44.39
438,Arranvale,-81.14,44.45
439,Arras,-120.53,55.75
440,Arrow Creek,-116.45,49.13
441,Arrow River,-100.89,50.14
442,Arrowview Heights,-124.76,49.23
443,Arseneault,-61.77,47.41
444,Arthabaska,-71.92,46.04
445,Arthurville,-70.75,46.82
446,Artland,-109.88,52.7
447,Arundel,-74.61,45.96
448,Arva,-81.29,43.05
449,Arvida,-71.18,48.42
450,Asahal Lake 2,-122.01,52.14
451,Ascot,-71.9,45.37
452,Ascot Corner,-71.76,45.45
453,Ash,-79.81,43.43
454,Ashburn,-78.99,44.0
455,Ashburnham,-78.3,44.3
456,Ashby,-60.16,46.13
457,Ashby Mill,-77.82,44.46
458,Ashcroft 4,-121.31,50.72
459,Ashdad,-76.75,45.35
460,Ashdale,-62.04,45.52
462,Ashfield,-61.16,45.91
463,Ashfield-Colborne-Wawanosh,-81.59,43.88
464,Ashgrove,-79.89,43.6
465,Ashland,-67.46,46.31
466,Ashmore,-65.97,44.46
467,Ashnola 10,-120.0,49.21
468,Ashton,-76.03,45.15
469,Ashton Creek,-119.01,50.55
470,Ashton Station,-76.05,45.17
471,Ashville,-100.29,51.17
472,Ashworth,-79.4,45.34
473,Asimakaniseekan Askiy 102A,-106.58,52.12
474,Asimakaniseekan Askiy 102B,-106.7,52.12
475,Askilton,-61.3,45.69
476,Aspdin,-79.37,45.29
477,Aspen Gardens,-113.54,53.47
478,Aspen Park,-97.02,50.63
479,Asphodel-Norwood,-78.01,44.35
480,Aspotogan,-64.05,44.52
481,Aspy Bay,-60.48,46.92
482,Assabaska,-94.43,48.98
483,Asselstine,-76.73,44.24
484,Assiginack,-81.88,45.7
485,Assineau River 150F,-115.18,55.38
486,Assiniboia East,-104.57,50.43
487,Assiniboine 76,-103.53,50.34
488,Astle,-66.47,46.41
489,Aston Station,-72.27,46.18
490,Aston-Jonction,-72.23,46.16
491,Atchelitz,-122.01,49.11
492,Atha Road,-79.17,43.94
493,Athalmer,-116.01,50.51
494,Athapap,-101.68,54.57
495,Athelstan,-74.17,45.03
496,Atherley,-79.36,44.6
497,Atherton,-80.44,42.82
498,Athlone,-113.54,53.58
500,Athol,-64.21,45.67
502,Athol Road,-64.1,45.63
503,Atihkosanik Cree Nation,-95.75,55.3
504,Atikameg,-115.65,55.91
505,Atkinson,-63.72,45.63
507,Atlanta,-64.49,45.15
508,Atlantic,-65.33,43.58
509,Atlin-Teslin Indian Cemetery 4,-133.69,59.55
510,Atluck,-126.98,50.2
511,Atmore,-112.54,54.81
512,Attawapiskat 91,-84.31,53.58
513,Attawapiskat 91A,-82.42,52.92
514,Attercliffe,-79.58,42.99
515,Attercliffe Station,-79.59,42.96
516,Atwater,-102.22,50.77
517,Atwoods Brook,-65.65,43.5
518,Aubert-Gallion,-70.7,46.12
519,Aubigny,-97.24,49.45
520,Aubrey,-73.79,45.14
521,Auburn,-64.87,45.01
522,Auburn Mills,-78.3,44.31
523,Auburndale,-64.59,44.4
524,Auburnville,-65.12,47.0
525,Auclair,-68.65,47.73
526,Auden,-87.89,50.22
527,Audet,-70.73,45.65
528,Audley,-79.01,43.9
529,Augier Lake 22,-125.61,54.44
530,Augsburg,-77.18,45.52
531,Augusta,-75.6,44.75
532,Aulac,-64.28,45.87
533,Aulds Cove,-61.43,45.64
534,Aumond,-75.9,46.46
535,Aupe 6,-125.07,50.33
536,Aupe 6A,-125.06,50.33
537,Austin Heights,-122.86,49.25
538,Austin's Flat 3,-121.44,49.77
539,Auteuil,-73.76,45.63
540,Authier,-78.85,48.73
541,Authier-Nord,-78.86,48.83
542,Avalon,-106.65,52.09
543,Avening,-80.07,44.31
544,Avery Island 92,-130.75,54.21
545,Avery Point,-79.11,44.67
546,Avon,-66.04,46.06
548,Avonbank,-81.12,43.32
549,Avondale,-67.64,46.31
552,Avonhurst,-104.13,50.63
553,Avonry,-82.35,42.75
554,Avonton,-81.08,43.35
555,Axe Lake,-79.53,45.39
556,Aylechootlook 5,-122.1,49.12
557,Aylesbury,-105.69,50.93
558,Aylesford East,-64.81,45.02
559,Aylesford Lake,-64.67,44.96
560,Aylesford Mountain,-64.85,45.06
561,Aylesworth,-76.54,44.28
562,Aylsworth,-93.8,48.54
563,Aylwin,-76.02,45.98
564,Aylwin Station,-76.05,45.97
565,Aywawwis 15,-121.41,49.39
566,Azilda,-81.11,46.55
567,Azu Ski Village,-122.63,55.38
568,Babine 16,-126.64,55.32
569,Babine 17,-127.33,55.02
570,Babine 18,-127.38,55.03
571,Babine 25,-126.14,54.81
572,Babine 26,-126.12,54.95
573,Babine 6,-126.61,55.32
574,Babine Lake 20,-126.46,55.06
575,Babine Lake 21B,-125.64,54.49
576,Babine River 21,-126.68,55.41
577,Babine River 21A,-126.67,55.41
578,Baby Point,-79.49,43.65
579,Babys Point,-82.5,42.64
580,Baccaro,-65.47,43.47
581,Back Bay,-66.86,45.05
582,Back Centre,-64.35,44.36
583,Back Clarendon,-66.56,45.43
584,Back Cove,-56.56,49.84
585,Back Harbour,-54.78,49.65
586,Back Lots,-65.5,47.04
587,Bacon Cove,-53.17,47.48
588,Bacon Ridge,-99.0,51.0
589,Bacon's Bay,-72.02,45.18
590,Baddeck Bay,-60.71,46.12
591,Baddow,-78.75,44.61
592,Baden,-101.21,52.78
593,Badenoch,-80.08,43.47
594,Badger's Corners,-80.02,45.39
595,Badjeros,-80.28,44.25
596,Baezaeko River 25,-123.8,52.98
597,Baezaeko River 26,-123.81,52.98
598,Baezaeko River 27,-123.81,52.98
599,Bagdad,-65.86,45.92
600,Bagnall,-82.36,42.34
601,Bagot,-98.63,49.96
602,Bagotville,-70.89,48.34
603,Baie du Doré,-81.55,44.33
604,Baie Verte Road,-64.15,45.98
605,Baie-Carrière,-78.01,47.84
606,Baie-de-l'Ours,-75.12,45.87
607,Baie-des-Bacon,-69.27,48.52
608,Baie-des-Brises,-74.16,45.19
609,Baie-des-Capucins,-66.85,49.04
610,Baie-des-Cèdres,-79.45,47.3
611,Baie-des-Ha! Ha!,-58.97,50.92
612,Baie-de-Shawinigan,-72.76,46.53
613,Baie-des-Homards,-67.11,49.83
614,Baie-des-Rochers,-69.85,47.95
615,Baie-Dorval,-79.23,46.98
616,Baie-D'Urfé,-73.91,45.41
617,Baie-du-Tonnerre,-80.07,44.8
618,Baie-Jolie,-72.63,46.28
619,Baie-Laperrière,-79.44,47.29
620,Baie-Laval,-69.05,48.77
621,Baie-Noire,-75.19,45.6
622,Baie-Rouge,-58.95,50.82
623,Baie-Sainte-Anne,-64.95,47.05
624,Baie-Sainte-Catherine,-69.73,48.1
625,Baie-Saint-Ludger,-68.32,49.09
626,Baie-Trinité-Est,-67.28,49.42
627,Baie-Trinité-Ouest,-67.3,49.42
628,Baildon,-105.46,50.26
629,Bailey Corners,-80.81,46.61
630,Baileys Brook,-62.27,45.66
631,Bailieboro,-78.35,44.13
632,Baillie,-67.26,45.38
633,Baine Harbour,-54.89,47.36
634,Bains Corner,-65.64,45.33
635,Bainsville,-74.41,45.18
636,Baird,-89.42,48.42
637,Bairdsville,-67.71,46.63
638,Baker-Brook,-68.51,47.3
639,Bakers Brook,-57.95,49.65
640,Bakers Settlement,-64.67,44.39
641,Bala Park,-79.58,45.01
642,Balaclava,-78.855,45.035
643,Bald Rock,-63.58,44.46
644,Balderson,-76.32,44.95
645,Baldonnel,-120.68,56.2
646,Baldoon,-82.34,42.49
647,Baldwin,-80.545,45.29
648,Baldwin Mills,-71.9,45.03
649,Baldwins Bridge,-75.41,45.0
650,Baldwinton,-109.26,52.78
651,Baldy Hughes,-122.93,53.61
652,Balfour Beach,-79.49,44.26
653,Balfron,-63.23,45.67
654,Baljennie,-107.9,52.55
655,Balla Philip,-64.91,46.48
656,Ballantrae,-79.29,44.03
657,Ballantynes Cove,-61.92,45.85
658,Ballinafad,-80.01,43.69
659,Balls Creek,-60.31,46.14
660,Ballycanoe,-75.9,44.53
661,Ballycroy,-79.87,43.97
662,Ballydown Beach,-79.53,44.24
663,Ballyduff,-78.65,44.13
664,Ballyhack,-53.19,47.43
665,Ballymote,-81.23,43.06
666,Balm Beach,-80.0,44.69
667,Balmertown,-93.74,51.05
668,Balmoral Beach,-124.9,49.66
669,Balmoral Mills,-63.19,45.64
670,Balmy Beach,-80.94,44.61
671,Balone Beach,-105.6,52.66
672,Balsam,-79.06,43.98
673,Balsam Creek,-79.2,46.41
674,Balsam Grove,-76.53,44.24
675,Balsam Harbour,-96.57,50.48
676,Balsam Hill,-76.82,45.48
677,Baltics Corners,-74.79,45.32
678,Baltimore,-64.8,45.88
680,Balvenie,-77.06,45.26
681,Balwin,-113.45,53.58
682,Bamberg,-80.68,43.48
683,Banbury,-79.52,45.45
684,Banda,-80.06,44.28
685,Banff Trail,-114.11,51.06
686,Banff Training Area,-115.53,51.21
687,Bangor,-66.09,44.21
689,Bangor Lodge,-79.39,45.04
690,Bangs Falls,-64.83,44.24
691,Bankeir,-120.23,49.71
692,Bankend,-103.84,51.5
693,Bankfield,-87.08,49.69
694,Banks,-80.35,44.48
695,Bankview,-114.1,51.03
696,Banner,-80.98,43.0
697,Bannerman,-113.37,53.59
698,Bannon,-67.46,46.37
699,Bapaume,-107.66,53.38
700,Baptiste,-77.97,45.09
701,Baptiste Louis 8,-125.38,53.75
702,Baptiste Meadow 2,-122.55,51.99
703,Bar Point,-83.11,42.05
704,Bar River,-84.02,46.44
705,Bar Road,-67.05,45.09
706,Barachois-Nord,-64.29,48.63
707,Barachois-Ouest,-64.31,48.61
708,Baranow,-113.53,53.6
709,Barb,-74.53,45.51
710,Barbers Bay,-80.9,48.61
711,Barber's Beach,-80.27,43.42
712,Barclay,-79.61,44.29
713,Barcovan Beach,-77.62,44.02
714,Bar-de-Cocagne,-64.62,46.41
715,Bardsville,-79.43,45.09
716,Bare Island 9,-123.28,48.63
717,Bareneed,-53.24,47.57
718,Barford,-71.79,45.11
719,Baring,-103.05,50.25
720,Barkers Point,-66.62,45.95
721,Barkerville,-121.51,53.06
722,Barkfield,-96.8,49.33
723,Barkhouse Settlement,-62.37,44.94
724,Barkmere,-74.58,46.0
725,Barkway,-79.17,44.9
726,Barlochan,-79.48,45.03
727,Barlow Creek,-122.43,53.03
728,Barnaby River,-65.51,46.88
729,Barnesdale,-79.27,43.18
730,Barnet,-122.91,49.3
731,Barnettville,-65.8,46.76
732,Barneys River Station,-62.26,45.59
733,Barnhart,-93.78,48.72
734,Barnhartvale,-120.16,50.65
735,Barnston Island,-122.71,49.2
736,Barnston Island 3,-122.69,49.18
737,Barnston-Ouest,-71.96,45.1
738,Barons,-113.08,49.99
739,Barony,-67.18,45.97
740,Barr Settlement,-63.62,45.13
741,Barra Glen,-60.84,45.97
742,Barra Head,-60.78,45.67
743,Barrachois,-61.845,45.93
744,Barrage-McLaren,-75.65,45.84
745,Barrage-Mistigougèche,-68.02,48.17
746,Barrage-Sainte-Marguerite,-66.65,50.21
747,Barr'd Harbour,-57.05,50.81
748,Barren Hill,-60.59,45.68
749,Barrett Chute,-76.75,45.25
750,Barrett Lake,-126.75,54.45
751,Barretville,-82.85,42.09
752,Barrhaven,-75.76,45.27
753,Barrieau,-65.27,46.77
754,Barriefield,-76.46,44.24
755,Barriefield Range and Training Area,-76.46,44.24
756,Barrier Ford,-103.71,52.54
757,Barriere,-120.12,51.17
758,Barriere River 3A,-120.11,51.19
759,Barrière-de-Laterrière,-71.25,48.24
760,Barrière-Mésy,-71.67,48.26
761,Barrillia Park,-79.49,44.45
762,Barrington Passage,-65.6,43.52
763,Barrington West,-65.59,43.56
764,Barronsfield,-64.35,45.73
765,Barrow Bay,-81.22,44.95
766,Barrowtown,-122.1,49.1
767,Barrydowne,-80.94,46.51
768,Barrymere,-77.66,45.39
769,Barryvale,-76.72,45.28
770,Barsa Subdivision,-65.96,45.36
771,Barss Corner,-64.68,44.56
772,Barter Settlement,-67.33,45.2
773,Bartholomew,-65.9,46.7
774,Bartibog,-65.4,47.18
775,Bartibog Bridge,-65.34,47.09
776,Bartlett Island 32,-126.08,49.22
777,Bartlett Island 7,-125.08,50.32
778,Bartletts Mills,-67.12,45.2
779,Barton,-67.03,46.13
781,Bartonville,-79.8,43.23
782,Barville,-77.68,48.51
783,Barwick,-93.98,48.64
784,Bas-Cap-Pelé,-64.26,46.23
785,Bas-de-la-Baie,-70.51,47.41
786,Bas-de-l'Anse,-70.03,47.7
